book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Epistle to the Galatians	1		ⲡⲣⲟⲥ ⲅⲁⲗⲁⲧⲏⲥ ⲇ̅ ⲁ									
Epistle to the Galatians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲣⲱⲙⲓ ⲁⲛ ⲟⲩⲇⲉ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲣⲱⲙⲓ ⲁⲛ ⲁⲗⲗⲁ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛⲉⲙ ⲫϯ ⲫⲓⲱⲧ ⲫⲁⲓ ⲉⲧⲁϥⲧⲟⲩⲛⲟⲥϥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲏ ⲉⲑⲙⲱⲟⲩⲧ	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲡⲉⲃⲟⲗ ϩⲛ̅ ⲣⲱⲙⲉ ⲁⲛ. ⲟⲩⲇⲉ ϩⲓⲧⲛ̅ ⲣⲱⲙⲉ ⲁⲛ. ⲁⲗⲗⲁ ϩⲓⲧⲛ̅ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲙⲛ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ ⲡⲁⲓ ⲉⲛⲧⲁϥⲧⲟⲩⲛⲟⲥϥ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲉⲧⲙⲟⲟⲩⲧ.	 Paul (the) apostle, not from man, nor through man, but through Jesus Christ and God the Father, he (lit. this) who raised him from them who are dead,	 Παῦλος ἀπόστολος, οὐκ ἀπʼ ἀνθρώπων οὐδὲ διʼ ἀνθρώπου ἀλλὰ διὰ Ἰησοῦ Χριστοῦ καὶ θεοῦ πατρὸς τοῦ ἐγείραντος αὐτὸν ἐκ νεκρῶν,						
Epistle to the Galatians	1	2	 ⲛⲉⲙ ⲛⲓⲥⲛⲏⲟⲩ ⲧⲏⲣⲟⲩ ⲉⲑⲛⲉⲙⲏⲓ ⲛ̀ⲛⲓⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲧⲅⲁⲗⲁⲧⲓⲁ	 ⲁⲩⲱ ⲛⲉⲥⲛⲏⲩ ⲧⲏⲣⲟⲩ ⲉⲧⲛⲙ̅ⲙⲁⲓ ⲉⲛⲥϩⲁⲓ ⲛ̅ⲛ̅ⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̅ⲧⲅⲁⲗⲁⲧⲓⲁ.	 and all the brethren who are with me, to the churches of (the) Galatia:	 καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί, ταῖς ἐκκλησίαις τῆς Γαλατίας·						
Epistle to the Galatians	1	3	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ ⲙⲛ̅ ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅.	 (The) grace to you and (the) peace from God our Father and our Lord Jesus Christ,	 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,						
Epistle to the Galatians	1	4	 ⲫⲁⲓ ⲉⲧⲁϥⲧⲏⲓϥ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲛⲉⲛⲛⲟⲃⲓ ϣⲁⲧⲉϥⲛⲁϩⲙⲉⲛ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲁⲓⲉⲛⲉϩ ⲉⲧϩⲱⲟⲩ ⲉⲧϣⲟⲡ ⲕⲁⲧⲁ ⲡⲉⲧⲉϩⲛⲁϥ ⲙ̀ⲫϯ ⲟⲩⲟϩ ⲫⲓⲱⲧ	 ⲡⲉⲛⲧⲁϥⲧⲁⲁϥ ϩⲁ ⲛⲉⲛⲛⲟⲃⲉ. ϫⲉ ⲉϥⲉⲧⲟⲩϫⲟⲛ ⲉⲡⲉⲓⲁⲓⲱⲛ ⲙ̅ⲡⲟⲛⲏⲣⲟⲛ. ⲕⲁⲧⲁ ⲡⲟⲩⲱϣ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ	 he (lit. this) who gave himself for our sins, to the end that he might save us out of this age which is evil, which exists, according to the will of God and the Father:	 τοῦ δόντος ἑαυτὸν ὑπὲρ τῶν ἁμαρτιῶν ἡμῶν ὅπως ἐξέληται ἡμᾶς ἐκ τοῦ αἰῶνος τοῦ ἐνεστῶτος πονηροῦ κατὰ τὸ θέλημα τοῦ θεοῦ καὶ πατρὸς ἡμῶν,						
Epistle to the Galatians	1	5	 ⲫⲏ ⲉⲧⲉ ⲫⲱϥ ⲡⲉ ⲡⲓⲱⲟⲩ ϣⲁ ⲉⲛⲉϩ ⲛ̀ⲧⲉ ⲛⲓⲉⲛⲉϩ ⲁⲙⲏⲛ	 ⲡⲁⲓ ⲉⲧⲉⲡⲱϥ ⲡⲉ ⲡⲉⲟⲟⲩ ϣⲁ ⲛⲓⲉⲛⲉϩ  ϩⲁⲙⲏⲛ:	 whose is the glory unto age of the ages. Amēn.	 ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων· ἀμήν.						
Epistle to the Galatians	1	6	 ϯⲉⲣϣⲫⲏⲣⲓ ϫⲉ ⲡⲁⲓⲣⲏϯ ⲛ̀ⲭⲱⲗⲉⲙ ⲥⲉⲟⲩⲱⲧⲉⲃ ⲙ̀ⲙⲱⲧⲉⲛ ⲉ̀ⲃⲟⲗ ⲥⲁⲃⲟⲗ ⲙ̀ⲫⲏ ⲉⲧⲁϥⲑⲁϩⲉⲙ ⲑⲏⲛⲟⲩ ϧⲉⲛ ⲡϩⲙⲟⲧ ⲙ̀ⲡⲭ̅ⲥ̅ ⲉⲕⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	 ϯⲣ̅ϣⲡⲏⲣⲉ ϫⲉ ⲛ̅ⲧⲉⲉⲓϩⲉ ϩⲛ̅ ⲟⲩϭⲉⲡⲏ ⲧⲉⲧⲛ̅ⲡⲱⲱⲛⲉ ⲛ̅ⲧⲙ̅ⲡⲉⲛⲧⲁϥⲧⲉϩⲙ̅ ⲧⲏⲩⲧⲛ̅ ϩⲙ̅ ⲡⲉϩⲙⲟⲧ ⲙⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲉⲕⲉⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	 I wonder that thus quickly they remove you from him who called you in (the) grace of Christ unto another Gospel;	 Θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι Χριστοῦ εἰς ἕτερον εὐαγγέλιον,						
Epistle to the Galatians	1	7	 ⲉⲧⲉ ⲕⲉⲟⲩⲁⲓ ⲁⲛ ⲡⲉ ⲉ̀ⲃⲏⲗ ⲁⲣⲏⲟⲩ ϫⲉ ⲟⲩⲟⲛ ϩⲁⲛⲟⲩⲟⲛ ⲉⲩϣⲑⲟⲣⲧⲉⲣ ⲙ̀ⲙⲱⲧⲉⲛ ⲉⲩⲟⲩⲱϣ ⲉ̀ⲫⲉⲛϩ ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅	 ⲉⲙⲛ̅ⲕⲉⲟⲩⲁ ϣⲟⲟⲡ ⲉⲓⲙⲏⲧⲉⲓ ϫⲉ ⲟⲩⲛ̅ ϩⲟⲓⲛⲉ ⲉⲩϣⲧⲟⲣⲧⲣ ⲙ̅ⲙⲱⲧⲛ̅. ⲉⲩⲟⲩⲱϣ ⲉⲡⲉⲛⲉⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙ̅ⲡⲉⲭ̅ⲥ̅	 which is not another; except perhaps that there are some troubling you, wishing to pervert the Gospel of Christ.	 ὃ οὐκ ἔστιν ἄλλο· εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ Χριστοῦ.						
Epistle to the Galatians	1	8	 ⲁⲗⲗⲁ ⲕⲁⲛ ⲁ̀ⲛⲟⲛ ⲓⲉ ⲟⲩⲁⲅⲅⲉⲗⲟⲥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲧⲫⲉ ⲛ̀ⲧⲉϥϩⲓϣⲉⲛⲛⲟⲩϥⲓ ⲛⲱⲧⲉⲛ ⲥⲁⲃⲟⲗ ⲙ̀ⲫⲏ ⲉⲧⲁⲛϩⲓϣⲉⲛⲛⲟⲩϥⲓ ⲙ̀ⲙⲟϥ ⲛⲱⲧⲉⲛ ⲙⲁⲣⲉϥϣⲱⲡⲓ ⲛ̀ⲟⲩⲁⲛⲁⲑⲉⲙⲁ	 ⲁⲗⲗⲁ ⲕⲁⲛ ⲁⲛⲟⲛ. ⲏ ⲟⲩⲁⲅⲅⲉⲗⲟⲥ ⲉⲃⲟⲗ ϩⲛ̅ ⲧⲡⲉ. ⲛϥ̅ⲧⲁϣⲉⲟⲉⲓϣ ⲛⲏⲧⲛ̅ ⲡⲃⲟⲗ ⲙ̅ⲡⲉⲛⲧⲁⲛⲧⲁϣⲉⲟⲓϣ ⲙ̅ⲙⲟϥ ⲛⲏⲧⲛ̅ ⲙⲁⲣⲉϥϣⲱⲡⲉ ⲉϥⲃⲏⲧ.	 But even if we, or an angel from (the) heaven, preach good tidings to you outside of that which we preached to you, let him be an anathema.	 ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ εὐαγγελίζηται ὑμῖν παρʼ ὃ εὐηγγελισάμεθα ὑμῖν, ἀνάθεμα ἔστω.						
Epistle to the Galatians	1	9	 ⲙ̀ⲫⲣⲏϯ ⲉⲧⲁⲛⲉⲣϣⲟⲣⲡ ⲛ̀ϫⲟⲥ ⲛⲉⲙ ϯⲛⲟⲩ ⲟⲛ ϯϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲫⲏ ⲉⲑⲛⲁϩⲓϣⲉⲛⲛⲟⲩϥⲓ ⲛⲱⲧⲉⲛ ⲥⲁⲃⲟⲗ ⲙ̀ⲫⲏ ⲉⲧⲁⲣⲉⲧⲉⲛϭⲓⲧϥ ⲙⲁⲣⲉϥϣⲱⲡⲓ ⲛ̀ⲟⲩⲁⲛⲁⲑⲉⲙⲁ	 ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲛϣⲣ̅ⲡϫⲟⲟⲥ ⲧⲉⲛⲟⲩ ⲟⲛ ϯϫⲱ ⲙ̅ⲙⲟⲥ. ϫⲉ ⲡⲉⲧⲛⲁⲧⲁϣⲉⲟⲉⲓϣ ⲛⲏⲧⲛ̅ ⲡⲃⲟⲗ ⲙ̅ⲡⲉⲛⲧⲁⲧⲉⲧⲛ̅ϫⲓⲧϥ̅ ⲙⲁⲣⲉϥϣⲱⲡⲉ ⲉϥⲃⲏⲧ.	 As we said before, and now again I say, that he who will preach good tidings to you outside of that which ye received, let him be an anathema.	 ὡς προειρήκαμεν, καὶ ἄρτι πάλιν λέγω, εἴ τις ὑμᾶς εὐαγγελίζεται παρʼ ὃ παρελάβετε, ἀνάθεμα ἔστω.						
