book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Gospel of St. Matthew	1		ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲕⲁⲧⲁ ⲙⲁⲧⲑⲉⲟⲛ	ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲉⲧⲟⲩⲁⲁⲃ ⲛ̅ⲕⲁⲧⲁ ⲙⲁⲑⲑⲁⲓⲟⲥ ⲥⲩⲛ ⲑ(ⲉⲱⲓ)								
Gospel of St. Matthew	1	1	 ⲡϫⲱⲙ ⲙ̀ⲙⲓⲥⲓ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡϣⲏⲣⲓ ⲛ̀ⲇⲁⲩⲓⲇ ⲡϣⲏⲣⲓ ⲛ̀ⲁⲃⲣⲁⲁⲙ	 ⲡϫⲱⲱⲙⲉ ⲙ̅ⲡⲉϫⲡⲟ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡϣⲏⲣⲉ ⲛ̅ⲇⲁⲩⲉⲓⲇ ⲡϣⲏⲣⲉ ⲛ̅ⲁⲃⲣⲁϩⲁⲙ.	 The birth-book of Jesus Christ, the son of David, the son of Abraam.	 Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.						
Gospel of St. Matthew	1	2	 ⲁⲃⲣⲁⲁⲙ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲥⲁⲁⲕ ⲓⲥⲁⲁⲕ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲁⲕⲱⲃ ⲓⲁⲕⲱⲃ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲟⲩⲇⲁⲥ ⲛⲉⲙ ⲛⲉϥⲥⲛⲏⲟⲩ	 ⲁⲃⲣⲁϩⲁⲙ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲥⲁⲁⲕ. ⲓ̈ⲥⲁⲁⲕ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲁⲕⲱⲃ. ⲓ̈ⲁⲕⲱⲃ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲟⲩⲇⲁⲥ ⲙⲛ̅ ⲛⲉϥⲥⲛⲏⲩ.	 And Abraam begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brothers.	 Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,						
Gospel of St. Matthew	1	3	 ⲓⲟⲩⲇⲁⲥ ⲇⲉ ⲁϥϫⲫⲉ ⲫⲁⲣⲉⲥ ⲛⲉⲙ ⲍⲁⲣⲁ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲑⲁⲙⲁⲣ ⲫⲁⲣⲉⲥ ⲇⲉ ⲁϥϫⲫⲉ ⲉⲥⲣⲱⲙ. ⲉⲥⲣⲱⲙ ⲇⲉ ⲁϥϫⲫⲉ ⲁⲣⲁⲙ	 ⲓ̈ⲟⲩⲇⲁⲥ ⲇⲉ ⲁϥϫⲡⲟ ⲙ̅ⲫⲁⲣⲉⲥ ⲙⲛ̅ ⲍⲁⲣⲁ ⲉⲃⲟⲗ ϩⲛ̅ ⲑⲁⲙⲁⲣ. ⲫⲁⲣⲉⲥ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲉⲥⲣⲱⲙ. ⲉⲥⲣⲱⲙ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲁⲣⲁⲙ.	 And Judas begat Phares and Zara from Tamar; and Phares begat Esrom; and Esrom begat Aram.	 Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,						
Gospel of St. Matthew	1	4	 ⲁⲣⲁⲙ ⲇⲉ ⲁϥϫⲫⲉ ⲁⲙⲓⲛⲁⲇⲁⲃ ⲁⲙⲓⲛⲁⲇⲁⲃ ⲇⲉ ⲁϥϫⲫⲉ ⲛⲁⲥⲥⲱⲛ ⲛⲁⲥⲥⲱⲛ ⲇⲉ ⲁϥϫⲫⲉ ⲥⲁⲗⲙⲱⲛ	 ⲁⲣⲁⲙ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲁⲙⲓⲛⲁⲇⲁⲃ. ⲁⲙⲓⲛⲁⲇⲁⲃ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅<ⲛ>ⲁⲁⲥⲥⲱⲛ. ⲛⲁⲁⲥⲥⲱⲛ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲥⲁⲗⲙⲱⲛ.	 And Aram begat Aminadab; and Aminadab begat Nasson; and Nasson begat Salmon.	 Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,						
Gospel of St. Matthew	1	5	 ⲥⲁⲗⲙⲱⲛ ⲇⲉ ⲁϥϫⲫⲉ ⲃⲟⲉⲥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲣⲏⲭⲁⲃ ⲃⲟⲉⲥ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲟⲩⲃⲏⲇ ⲓⲟⲩⲃⲏⲇ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲉⲥⲥⲉ	 ⲥⲁⲗⲙⲱⲛ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲃⲟⲉⲥ ⲉⲃⲟⲗ ϩⲛ̅ ϩⲣⲁⲭⲁⲃ. ⲃⲟⲉⲥ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲱⲃⲏⲇ ⲉⲃⲟⲗ ϩⲛ̅ ϩⲣⲟⲩⲑ. ⲓ̈ⲱⲃⲏⲇ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲉⲥⲥⲁⲓ.	 And Salmon begat Boes from Rechab; and Boes begat Jubed; and Jubed begat Jesse.	 Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,						
Gospel of St. Matthew	1	6	 ⲓⲉⲥⲥⲉ ⲇⲉ ⲁϥϫⲫⲉ ⲇⲁⲩⲓⲇ ⲇⲁⲩⲓⲇ ⲇⲉ ⲁϥϫⲫⲉ ⲥⲟⲗⲟⲙⲱⲛ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲑⲁ ⲟⲩⲣⲓⲁⲥ	 ⲓ̈ⲉⲥⲥⲁⲓ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲇⲁⲩⲉⲓⲇ. ⲡⲣ̅ⲣⲟ. ⲇⲁⲩⲉⲓⲇ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲥⲟⲗⲟⲙⲱⲛ ⲉⲃⲟⲗ ϩⲛ̅ ⲑⲓⲙⲉ ⲛ̅ⲟⲩⲣⲓⲁⲥ.	 And Jesse begat David, and David begat Solomon from the wife of Urias.	 Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα.						
Gospel of St. Matthew	1	7	 ⲥⲟⲗⲟⲙⲱⲛ ⲇⲉ ⲁϥϫⲫⲉ ⲣⲟⲃⲟⲁⲙ ⲣⲟⲃⲟⲁⲙ ⲇⲉ ⲁϥϫⲫⲉ ⲁⲃⲓⲁ ⲁⲃⲓⲁ ⲇⲉ ⲁϥϫⲫⲉ ⲁⲥⲁⲫ	 ⲥⲟⲗⲟⲙⲱⲛ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ϩⲣⲟⲃⲟⲁⲙ. ϩⲣⲟⲃⲟⲁⲙ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲁⲃⲓⲁ. ⲁⲃⲓⲁⲥ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲁⲥⲁⲫ.	 And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asaph.	 Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ,						
Gospel of St. Matthew	1	8	 ⲁⲥⲁⲫ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲱⲥⲁⲫⲁⲧ ⲓⲱⲥⲁⲫⲁⲧ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲱⲣⲁⲙ ⲓⲱⲣⲁⲙ ⲇⲉ ⲁϥϫⲫⲉ ⲟⲍⲓⲁⲥ	 ⲁⲥⲁⲫ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲱⲥⲁⲫⲁⲧ. ⲓ̈ⲱⲥⲁⲫⲁⲧ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲱⲣⲁⲙ. ⲓ̈ⲱⲣⲁⲙ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲟⲍⲉⲓⲁⲥ.	 And Asaph begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias.	 Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν,						
Gospel of St. Matthew	1	9	 ⲟⲍⲓⲁⲥ ⲇⲉ ⲁϥϫⲫⲉ ⲓⲱⲁⲑⲁⲙ ⲓⲱⲁⲑⲁⲙ ⲇⲉ ⲁϥϫⲫⲉ ⲁⲭⲁⲍ ⲁⲭⲁⲍ ⲇⲉ ⲁϥϫⲫⲉ ⲉⲍⲉⲕⲓⲁⲥ	 ⲟⲍⲉⲓⲁⲥ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲓ̈ⲱⲁⲑⲁⲙ. ⲓ̈ⲱ{ⲛ}ⲁⲑⲁⲙ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲁⲭⲁⲍ. ⲁⲭⲁⲍ ⲇⲉ ⲁϥϫⲡⲟ ⲛ̅ⲉⲍⲉⲕⲉⲓⲁⲥ.	 And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias.	 Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν,						
