book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Epistle of St. Jude	1		ⲓⲟⲩⲇⲁⲥ ⲉⲡⲓⲥⲧⲟⲗⲏ	ⲧⲉⲡⲓⲥⲧⲟⲗⲏ ⲛ̅ⲓⲟⲩⲇⲁⲥ								
Epistle of St. Jude	1	1	 ⲓⲟⲩⲇⲁⲥ ⲫⲃⲱⲕ ⲛ̀ⲓⲏⲥ ⲡⲭ̅ⲥ̅ ⲡⲥⲟⲛ ⲇⲉ ⲛ̀ⲓⲁⲕⲱⲃⲟⲥ ⲛ̀ⲛⲏ ⲉⲧⲁⲩⲙⲉⲛⲣⲓⲧⲟⲩ ϧⲉⲛ ⲫϯ ⲫⲓⲱⲧ ⲟⲩⲟϩ ⲁⲩⲁⲣⲉϩ ⲉ̀ⲣⲱⲟⲩ ⲛ̀ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛⲏ ⲉⲧⲑⲁϩⲉⲙ	 ⲓⲟⲩⲇⲁⲥ ⲡϩⲙ̅ϩⲁⲗ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅. ⲡⲥⲟⲛ ⲇⲉ ⲛ̅ⲓⲁⲕⲱⲃⲟⲥ ⲉϥⲥϩⲁⲓ ⲙⲙⲉⲣⲁⲧⲉ ⲉⲧϩⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲓⲱⲧ. ⲛⲉⲧⲧⲁϩⲙ̅ ⲉⲧⲟⲩϩⲁⲣⲉϩ ⲉⲣⲟⲟⲩ ϩⲛ̅ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅.	 Jude, (the) servant of Jesus Christ, but (the) brother of James, to them who were loved in God the Father, and they were kept for Jesus Christ, they who are called.	 Ἰούδας Ἰησοῦ Χριστοῦ δοῦλος, ἀδελφὸς δὲ Ἰακώβου, τοῖς ἐν θεῷ πατρὶ ἠγαπημένοις καὶ Ἰησοῦ Χριστῷ τετηρημένοις κλητοῖς·						
Epistle of St. Jude	1	2	 ⲫⲛⲁⲓ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲛⲉⲙ ϯⲁⲅⲁⲡⲏ ⲛ̀ⲧⲟⲩⲁϣⲁⲓ ⲛⲱⲧⲉⲛ	 ⲡⲛⲁ ⲉϥⲉⲁϣⲁⲓ ⲛⲏⲧⲛ̅ ⲁⲩⲱ ⲧⲁⲅⲁⲡⲏ ⲙⲛ̅ ϯⲣⲏⲛⲏ.	 May (the) mercy and (the) peace and the love be multiplied to you.	 ἔλεος ὑμῖν καὶ εἰρήνη καὶ ἀγάπη πληθυνθείη.						
Epistle of St. Jude	1	3	 ⲛⲁⲙⲉⲛⲣⲁϯ ⲥⲡⲟⲩⲇⲏ ⲛⲓⲃⲉⲛ ⲉ̀ϯⲣⲁ ⲙ̀ⲙⲱⲟⲩ ⲉⲓⲥϧⲁⲓ ⲛⲱⲧⲉⲛ ⲉⲑⲃⲉ ⲡⲉⲧⲉⲛⲟⲩϫⲁⲓ ⲉⲩⲥⲟⲡ ⲁⲥⲉⲣⲁⲛⲁⲅⲕⲏ ⲉ̀ⲣⲟⲓ ⲉⲥϧⲁⲓ ⲛⲱⲧⲉⲛ ⲉ̀ϯⲛⲟⲙϯ ϫⲉ ⲛ̀ⲧⲉⲧⲉⲛⲉⲣⲁⲅⲱⲛⲓⲍⲉⲥⲑⲉ ϧⲉⲛ ⲡⲓⲛⲁϩϯ ⲉⲧⲁⲩⲧⲏⲓϥ ⲛ̀ⲟⲩⲥⲟⲡ ⲛ̀ⲧⲉⲛ ⲑⲏⲛⲟⲩ ϧⲁ ⲛⲓⲁⲅⲓⲟⲥ	 ⲛⲁⲙⲉⲣⲁⲧⲉ. ⲉⲓⲉⲓⲣⲉ ⲛ̅ⲁⲡⲁⲧⲟⲟⲧ ⲉⲙⲁⲧⲉ ⲉⲧⲣⲁⲥϩⲁⲓ ⲛⲏⲧⲛ̅ ⲉⲧⲃⲉ ⲡⲉⲛⲟⲩϫⲁⲓ ϩⲓ ⲟⲩⲥⲟⲡ. ⲁ ⲡⲉⲧⲉϣϣⲉ ϣⲱⲡⲉ ⲛⲁⲓ ⲉⲧⲣⲁⲥϩⲁⲓ ⲛⲏⲧⲛ̅. ⲉⲓⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲙ̅ⲙⲱⲧⲛ̅ ⲉⲧⲣⲉⲧⲛ̅ⲙⲓϣⲉ ⲉϫⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ ⲛ̅ⲧⲁⲩⲧⲁⲁⲥ ⲛ̅ⲟⲩⲥⲟⲡ ⲉⲧⲟⲟⲧⲟⲩ ⲛ̅ⲛⲉⲧⲟⲩⲁⲁⲃ.	 My beloved, all diligence (it is) which I give (lit. do them) writing to you concerning your salvation together. It was necessary for me to write to you to encourage (you), that ye should strive in the faith which was once delivered to you, namely the saints.	 Ἀγαπητοί, πᾶσαν σπουδὴν ποιούμενος γράφειν ὑμῖν περὶ τῆς κοινῆς ἡμῶν σωτηρίας ἀνάγκην ἔσχον γράψαι ὑμῖν παρακαλῶν ἐπαγωνίζεσθαι τῇ ἅπαξ παραδοθείσῃ τοῖς ἁγίοις πίστει.						
Epistle of St. Jude	1	4	 ⲁⲩⲥⲁϧⲙⲟⲩ ⲅⲁⲣ ⲛϫⲉ ϩⲁⲛⲣⲱⲙⲓ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲣⲟⲛ ⲛⲏ ⲉⲧⲁⲩⲉⲣϣⲟⲣⲡ ⲛ̀ⲥϧⲁⲓ ⲉⲑⲃⲏⲧⲟⲩ ⲉ̀ⲡⲁⲓϩⲁⲡ ⲉⲩⲟⲓ ⲛ̀ⲁⲥⲉⲃⲏⲥ ⲉⲩϣⲓⲃϯ ⲙ̀ⲡⲓϩⲙⲟⲧ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲟⲩⲥⲱϥ ⲟⲩⲟϩ ⲫⲛⲏⲃ ⲙ̀ⲙⲁⲩⲁⲧϥ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲉⲩϫⲱⲗ ⲙ̀ⲙⲟϥ ⲉ̀ⲃⲟⲗ	 ⲁ ϩⲉⲛⲣⲱⲙⲉ ⲅⲁⲣ ⲟϣⲟⲩ ⲉϩⲟⲩⲛ. ⲛⲁⲓ ⲛ̅ⲧⲁⲩⲧⲟϭⲟⲩ ⲉⲃⲟⲗ ϫⲓⲛ ⲛϣⲟⲣⲡ̅ ⲉⲡⲉⲓⲕⲣⲓⲙⲁ. ⲉϩⲉⲛⲁⲥⲉⲃⲏⲥ ⲛⲉ. ⲉⲩⲡⲱⲱⲛⲉ ⲛ̅ⲧⲉⲭⲁⲣⲓⲥ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲉⲩϫⲱϩⲙ̅. ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲟⲩⲁⲁϥ ⲙ̅ⲡⲧⲏⲣϥ̅ ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉⲩⲁⲣⲛⲁ ⲙ̅ⲙⲟϥ.	 For men slipped themselves in among us, concerning whom it was before written unto this judgement, being ungodly, changing the grace of our Lord into [a] defilement, and denying (the) only Master, our Lord Jesus Christ.	 παρεισέδυσαν γάρ τινες ἄνθρωποι, οἱ πάλαι προγεγραμμένοι εἰς τοῦτο τὸ κρίμα, ἀσεβεῖς, τὴν τοῦ θεοῦ ἡμῶν χάριτα μετατιθέντες εἰς ἀσέλγειαν καὶ τὸν μόνον δεσπότην καὶ κύριον ἡμῶν Ἰησοῦν Χριστὸν ἀρνούμενοι.						
Epistle of St. Jude	1	5	 ϯⲟⲩⲱϣ ⲉ̀ⲑⲣⲉⲧⲉⲛⲉⲙⲓ ϩⲱⲥ ⲉⲣⲉⲧⲉⲛⲥⲱⲟⲩⲛ ⲛ̀ϩⲱⲃ ⲛⲓⲃⲉⲛ ϫⲉ ⲟⲩⲥⲟⲡ ⲁ ⲓⲏ̅ⲥ̅ ⲛⲟϩⲉⲙ ⲙ̀ⲡⲉϥⲗⲁⲟⲥ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲕⲁϩⲓ ⲛ̀ⲭⲏⲙⲓ ⲫⲙⲁϩⲥⲟⲡ ⲇⲉ ⲃ̅ ⲛⲏ ⲉⲧⲉ ⲙ̀ⲡⲟⲩⲛⲁϩϯ ⲁϥⲧⲁⲕⲱⲟⲩ	 ϯⲟⲩⲱϣ ⲇⲉ ⲉⲧⲣⲉⲧⲛ̅ⲣ̅ⲡⲙⲉⲉⲩⲉ ⲉⲧⲉⲧⲛ̅ⲥⲟⲟⲩⲛ ⲛ̅ⲕⲁ ⲛⲓⲙ. ϫⲉ ⲓ̅ⲥ̅ ⲁϥⲧⲟⲩϫⲉ ⲡⲗⲁⲟⲥ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲕⲁϩ ⲛ̅ⲕⲏⲙⲉ ⲛ̅ⲟⲩⲥⲟⲡ. ⲡⲙⲉϩⲥⲡ̅ⲥⲛⲁⲩ ⲛⲉⲧⲉ ⲙ̅ⲡⲟⲩⲡⲓⲥⲧⲉⲩⲉ ⲉⲣⲟϥ ⲁϥⲧⲁⲕⲟⲟⲩ.	 I wish you to know; though ye know all things, that once Jesus saved his people from (the) land of Khēmi; but (the) second time, them who believed not he destroyed.	 Ὑπομνῆσαι δὲ ὑμᾶς βούλομαι, εἰδότας ὑμᾶς ἅπαξ πάντα, ὅτι Ἰησοῦς λαὸν ἐκ γῆς Αἰγύπτου σώσας τὸ δεύτερον τοὺς μὴ πιστεύσαντας ἀπώλεσεν,						
Epistle of St. Jude	1	6	 ϩⲁⲛⲕⲉⲁⲅⲅⲉⲗⲟⲥ ⲙ̀ⲡⲟⲩⲁⲣⲉϩ ⲉⲧⲟⲩⲁⲣⲭⲏ ⲁⲗⲗⲁ ⲁⲩⲭⲱ ⲙ̀ⲡⲟⲩⲙⲁⲛ̀ϣⲱⲡⲓ ⲛ̀ⲥⲱⲟⲩ ⲁϥⲁⲣⲉϩ ⲉ̀ⲣⲱⲟⲩ ⲉ̀ϧⲟⲩⲛ ϧⲁ ⲡⲭⲁⲕⲓ ϧⲉⲛ ϩⲁⲛⲥⲛⲁⲩϩ ⲛ̀ⲉⲛⲉϩ ⲉ̀ⲡⲓϩⲁⲡ ⲛ̀ⲧⲉ ⲡⲓⲛⲓϣϯ ⲛ̀ⲉϩⲟⲟⲩ	 ⲁⲩⲱ ⲛ̅ⲁⲅⲅⲉⲗⲟⲥ ⲉⲧⲉⲙ̅ⲡⲟⲩϩⲁⲣⲉϩ ⲉⲧⲉⲩⲁⲣⲭⲏ ⲁⲩⲟⲧⲡⲟⲩ ⲉϩⲟⲩⲛ ⲉⲡϩⲁⲡ ⲙ̅ⲡⲛⲟϭ ⲛ̅ϩⲟⲟⲩ ϩⲛ̅ ϩⲉⲛⲥⲛⲁⲩϩ̅ ⲛ̅ϣⲁ ⲉⲛⲉϩ ϩⲛ̅ ⲟⲩϩⲧⲟⲙⲧⲙ̅.	 Angels also (who) kept not their beginning, but they left their place of dwelling, he kept them in under (the) darkness in eternal bonds unto the judgement of the great day.	 ἀγγέλους τε τοὺς μὴ τηρήσαντας τὴν ἑαυτῶν ἀρχὴν ἀλλὰ ἀπολιπόντας τὸ ἴδιον οἰκητήριον εἰς κρίσιν μεγάλης ἡμέρας δεσμοῖς ἀϊδίοις ὑπὸ ζόφον τετήρηκεν·						
Epistle of St. Jude	1	7	 ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲥⲟⲇⲟⲙⲁ ⲛⲉⲙ ⲅⲟⲙⲟⲣⲣⲁ ⲛⲉⲙ ⲛⲓⲕⲉⲡⲟⲗⲓⲥ ⲉⲧⲕⲱϯ ⲉ̀ⲣⲱⲟⲩ ⲉⲧⲁⲩⲉⲣⲡⲟⲣⲛⲉⲩⲓⲛ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲛⲁⲓ ⲟⲩⲟϩ ⲁⲩϣⲉ ⲛⲱⲟⲩ ⲥⲁⲫⲁϩⲟⲩ ⲛ̀ϩⲁⲛⲕⲉⲥⲁⲣⲝ ⲥⲉⲭⲏ ⲉⲩⲥⲙⲟⲧ ⲛ̀ⲧⲉ ⲡⲓⲭⲣⲱⲙ ⲛ̀ⲉⲛⲉϩ ⲉⲩⲛⲁϭⲓ ⲛ̀ⲟⲩϩⲁⲡ	 ⲛ̅ⲑⲉ ⲛ̅ⲥⲟⲇⲟⲙⲁ ⲙⲛ̅ ⲅⲟⲙⲟⲣⲣⲁ ⲙⲛ̅ ⲛ̅ⲕⲉⲡⲟⲗⲓⲥ ⲉⲧⲕⲱⲧⲉ ⲉⲣⲟⲟⲩ ⲉⲁⲩⲡⲟⲣⲛⲉⲩⲉ ϩⲱⲟⲩ ϩⲙ̅ ⲡⲉⲓⲥⲙⲟⲧ ⲛ̅ⲟⲩⲱⲧ ⲛ̅ⲧⲉ ⲧⲙⲛ̅ⲧⲁⲧⲛⲁϩⲧⲉ ⲉⲁⲩⲟⲩⲁϩⲟⲩ ⲛ̅ⲥⲁ ⲕⲉⲥⲁⲣⲝ̅. ⲥⲉⲕⲏ ⲉϩⲣⲁⲓ ϫⲓⲛ ⲛ̅ϣⲟⲣⲡ̅ ⲛⲥ̅ⲙⲟⲧ. ⲉⲩⲁϯϩⲁⲡ ⲉⲣⲟⲟⲩ ϩⲛ̅ ⲟⲩⲕⲱϩⲧ̅ ⲛ̅ϣⲁ ⲉⲛⲉϩ.	 As Sodoma and Gomorra, and the other cities which were around them, having fornicated as these, and they went after other flesh (plur.), they are set for an example of the eternal fire, about to receive a judgement.	 ὡς Σόδομα καὶ Γόμορρα καὶ αἱ περὶ αὐτὰς πόλεις, τὸν ὅμοιον τρόπον τούτοις ἐκπορνεύσασαι καὶ ἀπελθοῦσαι ὀπίσω σαρκὸς ἑτέρας, πρόκεινται δεῖγμα πυρὸς αἰωνίου δίκην ὑπέχουσαι.						
Epistle of St. Jude	1	8	 ⲡⲁⲓⲣⲏϯ ⲟⲛ ⲛⲁⲓⲕⲉⲭⲱⲟⲩⲛⲓ ⲥⲉⲥⲱϥ ⲛ̀ⲧⲟⲩⲥⲁⲣⲝ ϧⲉⲛ ⲡⲫⲱⲣ ⲛ̀ⲧⲉ ϩⲁⲛⲣⲁⲥⲟⲩⲓ ϯⲙⲉⲧϭ̅ⲥ̅ ⲇⲉ ⲥⲉϣⲱϣϥ ⲙ̀ⲙⲟⲥ ⲛⲓⲱⲟⲩ ⲥⲉϫⲉⲟⲩⲁ ⲉ̀ⲣⲱⲟⲩ	 ϩⲟⲙⲟⲓⲱⲥ ⲛⲉⲓⲕⲟⲟⲩⲉ ⲉⲩⲡⲉⲣⲉ ⲣⲁⲥⲟⲩ. ⲛ̅ⲥⲁⲣⲝ̅ ⲙⲉⲛ ⲥⲉϫⲱϩⲙ̅ ⲙ̅ⲙⲟⲟⲩ ⲙ̅ⲙⲛ̅ⲧϫⲟⲉⲓⲥ ⲥⲉⲁⲑⲉⲧⲉⲓ ⲙ̅ⲙⲟⲟⲩ. ⲛ̅ⲉⲟⲟⲩ ⲥⲉϫⲓⲟⲩⲁ ⲉⲣⲟⲟⲩ.	 Thus also these others defile their flesh in (the) dreaming of dreams d, but reject [the] dominion; the glories they blaspheme.	 Ὁμοίως μέντοι καὶ οὗτοι ἐνυπνιαζόμενοι σάρκα μὲν μιαίνουσιν, κυριότητα δὲ ἀθετοῦσιν, δόξας δὲ βλασφημοῦσιν.						
Epistle of St. Jude	1	9	 ⲙⲓⲭⲁⲏⲗ ⲇⲉ ⲡⲓⲁⲣⲭⲏⲁⲅⲅⲉⲗⲟⲥ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ⲟⲩⲃⲉ ⲡⲓⲇⲓⲁⲃⲟⲗⲟⲥ ⲛⲁϥⲥⲁϫⲓ ⲉⲑⲃⲉ ⲡⲥⲱⲙⲁ ⲙ̀ⲙⲱⲩ̀ⲥⲏⲥ ⲙ̀ⲡⲉϥⲉⲣⲧⲟⲗⲙⲁⲛ ⲉ̀ⲉⲛ ⲟⲩϩⲁⲡ ⲛ̀ϫⲉⲟⲩⲁ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱϥ ⲁⲗⲗⲁ ⲡⲉϫⲁϥ ϫⲉ ⲉⲣⲉ ⲡϭ̅ⲥ̅ ⲉⲣⲉⲡⲓⲧⲓⲙⲁⲛ ⲛⲁⲕ	 ⲙⲓⲭⲁⲏⲗ ⲇⲉ ⲡⲁⲣⲭⲁⲅⲅⲉⲗⲟⲥ ⲉϥϣⲁϫⲉ ⲙⲛ̅ ⲡⲇⲓⲁⲃⲟⲗⲟⲥ. ⲛ̅ⲧⲉⲣⲉϥϫⲓϩⲁⲡ ⲛⲙ̅ⲙⲁϥ ⲉⲧⲃⲉ ⲡⲥⲱⲙⲁ ⲙ̅ⲙⲱⲩ̈ⲥⲏⲥ ⲙ̅ⲡϥ̅ⲧⲟⲗⲙⲁ ⲉⲧⲣⲉϥⲉⲓⲛⲉ ⲛ̅ⲟⲩϩⲁⲡ ⲛ̅ⲟⲩⲁ ⲉϩⲣⲁⲓ ⲉϫⲱϥ. ⲁⲗⲗⲁ ⲛ̅ⲧⲁϥϫⲟⲟⲥ. ϫⲉ ⲉⲣⲉ ⲡϫⲟⲉⲓⲥ ⲉⲡⲓⲧⲓⲙⲁ ⲛⲁⲕ.	 But Michaēl the archangel, speaking (lit. saying) against the devil--he was speaking concerning (the) body of Moses--dared not to bring a blasphemous judgement upon him, but he said: 'The Lord shall rebuke thee.'	 ὁ δὲ Μιχαὴλ ὁ ἀρχάγγελος, ὅτε τῷ διαβόλῳ διακρινόμενος διελέγετο περὶ τοῦ Μωϋσέως σώματος, οὐκ ἐτόλμησεν κρίσιν ἐπενεγκεῖν βλασφημίας, ἀλλὰ εἶπεν· Ἐπιτιμήσαι σοι κύριος.						
