book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Baruch	1		ⲃⲁⲣⲟⲩⲭ									
Baruch	1	1	 ⲛⲁⲓ ⲛⲉ ⲛⲓⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡⲓϫⲱⲙ ⲛⲏ ⲉⲧⲁϥⲥϧⲏⲧⲟⲩ ⲛ̀ϫⲉ ⲃⲁⲣⲟⲩⲭ ⲡϣⲏⲣⲓ ⲛ̀ⲛⲏⲣⲓ ⲡϣⲏⲣⲓ ⲙ̀ⲙⲁⲁⲥⲉⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲥⲉⲇⲉⲕⲓⲁⲥ. ⲡϣⲏⲣⲓ ⲛ̀ⲥⲁⲇⲉⲟⲥ. ⲡϣⲏⲣⲓ ⲛ̀ⲭⲉⲗⲕⲓⲁⲥ ϧⲉⲛ ⲑⲃⲁⲃⲩⲗⲱⲛ		 And these are the words of the book, which Baruch the son of Nerias, the son of Maasias, the son of Sedecias, the son of Asadias, the son of Chelcias, wrote in Babylon,	 Καὶ οὗτοι οἱ λόγοι τοῦ βιβλίου, οὓς ἔγραψεν Βαρουχ υἱὸς Νηριου υἱοῦ Μαασαιου υἱοῦ Σεδεκιου υἱοῦ Ασαδιου υἱοῦ Χελκιου ἐν Βαβυλῶνι						
Baruch	1	2	 ϧⲉⲛ ⲑⲙⲁϩⲉ̅ ⲛ̀ⲣⲟⲙⲡⲓ ϧⲉⲛ ⲥⲟⲩⲍ̅ ⲙ̀ⲡⲓⲁⲃⲟⲧ ϧⲉⲛ ⲡⲓⲥⲏⲟⲩ ⲉⲧⲁⲩϭⲓ ⲛ̀ⲓⲗ̅ⲏ̅ⲙ̅ ⲛ̀ϫⲉ ⲛⲓⲭⲁⲗⲇⲉⲟⲥ. ⲟⲩⲟϩ ⲁⲩⲣⲟⲕϩⲥ ϧⲉⲛ ⲡⲭⲣⲱⲙ.		 In the fifth year, and in the seventh day of the month, what time as the Chaldeans took Jerusalem, and burnt it with fire.	 ἐν τῷ ἔτει τῷ πέµπτῳ ἐν ἑβδόµῃ τοῦ µηνὸς ἐν τῷ καιρῷ, ᾧ ἔλαβον οἱ Χαλδαῖοι τὴν Ιερουσαληµ καὶ ἐνέπρησαν αὐτὴν ἐν πυρί.						
Baruch	1	3	 ⲟⲩⲟϩ ⲁϥⲱϣ ⲛ̀ϫⲉ ⲃⲁⲣⲟⲩⲭ ⲛ̀ⲛⲉⲛⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲡⲁⲓϫⲱⲙ ϧⲉⲛ ⲛⲉⲛⲙⲁϣϫ ⲛ̀ⲓⲉⲭⲟⲛⲓⲁⲥ. ⲡϣⲏⲣⲓ ⲛ̀ⲓⲱⲁⲕⲓⲙ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ ⲛⲉⲙ ⲛⲉⲛⲙⲁϣϫ ⲙⲡⲓⲗⲁⲟⲥ ⲧⲏⲣϥ. ⲛⲏ ⲉⲑⲛⲏⲟⲩ ϩⲁ ⲡⲓϫⲱⲙ		 And Baruch did read the words of this book in the hearing of Jechonias the son of Joachim king of Juda, and in the ears of all the people that came to hear the book,	 καὶ ἀνέγνω Βαρουχ τοὺς λόγους τοῦ βιβλίου τούτου ἐν ὠσὶν Ιεχονιου υἱοῦ Ιωακιµ βασιλέως Ιουδα καὶ ἐν ὠσὶ παντὸς τοῦ λαοῦ τῶν ἐρχοµένων πρὸς τὴν βίβλον						
Baruch	1	4	 ⲛⲉⲙ ϧⲉⲛ ⲛⲉⲛⲙⲁϣϫ ⲛ̀ⲛⲓⲣⲉⲙⲛ̀ϫⲟⲙ ⲛⲉⲙ ⲛⲉⲛϣⲏⲣⲓ ⲛ̀ⲛⲓⲟⲩⲣⲱⲟⲩ ⲛⲉⲙ ϧⲉⲛ ⲛⲉⲛⲙⲁϣϫ ⲛ̀ⲧⲉ ⲛⲓⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ. ⲛⲉⲙ ϧⲉⲛ ⲛⲉⲛⲙⲁϣϫ ⲙⲡⲓⲗⲁⲟⲥ ⲧⲏⲣϥ ⲓⲥϫⲉⲛ ⲡⲟⲩⲕⲟⲩϫⲓ ϣⲁ ⲡⲟⲩⲛⲓϣϯ. ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲃⲁⲃⲩⲗⲱⲛ ϩⲓϫⲉⲛ ⲫⲓⲁⲣⲟ ⲥⲟⲩⲇ̅		 And in the hearing of the nobles, and of the king’s sons, and in the hearing of the elders, and of all the people, from the lowest unto the highest, even of all them that dwelt at Babylon by the river Sud.	 καὶ ἐν ὠσὶν τῶν δυνατῶν καὶ υἱῶν τῶν βασιλέων καὶ ἐν ὠσὶ τῶν πρεσβυτέρων καὶ ἐν ὠσὶ παντὸς τοῦ λαοῦ ἀπὸ µικροῦ ἕως µεγάλου, πάντων τῶν κατοικούντων ἐν Βαβυλῶνι ἐπὶ ποταµοῦ Σουδ.						
Baruch	1	5	 ⲟⲩⲟϩ ⲛⲁⲩⲣⲓⲙⲓ ⲡⲉ ⲉⲩⲉⲣⲛⲏⲥⲧⲉⲩⲓⲛ ⲟⲩⲟϩ ⲛⲁⲩⲧⲱⲃϩ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡϭ̅ⲥ̅ ⲡⲉ		 Whereupon they wept, fasted, and prayed before the Lord.	 καὶ ἔκλαιον καὶ ἐνήστευον καὶ ηὔχοντο ἐναντίον κυρίου						
Baruch	1	6	 ⲟⲩⲟϩ ⲁⲩⲑⲱⲟⲩϯ ⲛ̀ⲟⲩϩⲁⲧ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁ ⲧⲟⲧϥ ⲙ̀ⲡⲓⲟⲩⲁⲓ ⲡⲓⲟⲩⲁⲓ ϫⲉⲙϫⲟⲙ ⲙ̀ⲙⲟϥ.		 They made also a collection of money according to every man’s power:	 καὶ συνήγαγον ἀργύριον, καθὰ ἑκάστου ἠδύνατο ἡ χείρ,						
Baruch	1	7	 ⲟⲩⲟϩ ⲁⲩⲟⲩⲱⲣⲡ ⲉ̀ⲓⲗ̅ⲏ̅ⲙ̅ ϩⲁ ⲓⲱⲁⲕⲓⲙ ⲡϣⲏⲣⲓ ⲛ̀ⲭⲉⲗⲕⲓⲁ. ⲡϣⲏⲣⲓ ⲛ̀ⲥⲁⲗⲱⲙ ⲡⲓⲟⲩⲏⲃ. ⲛⲉⲙ ϩⲁ ⲡⲓⲗⲁⲟⲥ ⲧⲏⲣϥ ⲛⲏ ⲉⲧⲁⲩϫⲉⲙⲟⲩ ⲛⲉⲙⲁϥ ϧⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅		 And they sent it to Jerusalem unto Joachim the high priest, the son of Chelcias, son of Salom, and to the priests, and to all the people which were found with him at Jerusalem,	 καὶ ἀπέστειλαν εἰς Ιερουσαληµ πρὸς Ιωακιµ υἱὸν Χελκιου υἱοῦ Σαλωµ τὸν ἱερέα καὶ πρὸς τοὺς ἱερεῖς καὶ πρὸς πάντα τὸν λαὸν τοὺς εὑρεθέντας µετ’ αὐτοῦ ἐν Ιερουσαληµ						
Baruch	1	8	 ϧⲉⲛ ⲡϫⲓⲛⲑⲣⲉϥⲣⲉϥϭⲓ ⲛ̀ⲛⲓⲥⲕⲉⲩⲟⲥ ⲛ̀ⲧⲉ ⲡⲏⲓ ⲙ̀ⲡϭ̅ⲥ̅. ⲛⲏ ⲉⲧⲁⲩⲉⲛⲟⲩ ⲉ̀ⲃⲁⲃⲩⲗⲱⲛ. ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲓⲉⲣⲫⲉⲓ ⲉⲧⲁⲥⲑⲱⲟⲩ ⲉ̀ⲡⲕⲁϩⲓ ⲛ̀ⲓⲟⲩⲇⲁ. ϧⲉⲛ ⲥⲟⲩⲓ̅ ⲛ̀ⲧⲉ ⲡⲓⲥⲟⲩⲁⲛ ϩⲁⲛⲥⲕⲉⲩⲟⲥ ⲛ̀ϩⲁⲧ. ⲛⲏ ⲉⲧⲁϥⲑⲁⲙⲓⲱⲟⲩ ⲛ̀ϫⲉ ⲥⲉⲇⲉⲕⲓⲁⲥ ⲡϣⲏⲣⲓ ⲛ̀ⲓⲱⲥⲓⲁⲥ ⲡⲟⲩⲣⲟ ⲛ̀ⲓⲟⲩⲇⲁ		 At the same time when he received the vessels of the house of the Lord, that were carried out of the temple, to return them into the land of Juda, the tenth day of the month Sivan, namely, silver vessels, which Sedecias the son of Josias king of Jada had made,	 ἐν τῷ λαβεῖν αὐτὸν τὰ σκεύη οἴκου κυρίου τὰ ἐξενεχθέντα ἐκ τοῦ ναοῦ ἀποστρέψαι εἰς γῆν Ιουδα τῇ δεκάτῃ τοῦ Σιουαν, σκεύη ἀργυρᾶ, ἃ ἐποίησεν Σεδεκιας υἱὸς Ιωσια βασιλεὺς Ιουδα						
Baruch	1	9	 ⲙⲉⲛⲉⲛⲥⲁ ⲑⲣⲉ ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ ⲡⲟⲩⲣⲟ ⲙ̀ⲃⲁⲃⲩⲗⲱⲛ ⲟⲩⲱⲧⲉⲃ ⲉ̀ⲃⲟⲗ ⲛ̀ⲓⲉⲭⲟⲛⲓⲁⲥ ⲛⲉⲙ ⲛⲓⲁⲣⲭⲱⲛ ⲛⲉⲙ ⲛⲏ ⲉⲧⲥⲟⲛϩ. ⲛⲉⲙ ⲛⲓⲣⲉⲙⲛ̀ϫⲟⲙ. ⲛⲉⲙ ⲡⲓⲗⲁⲟⲥ ⲛ̀ⲧⲉ ⲡⲕⲁϩⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ⲟⲩⲟϩ ⲁϥⲟⲗⲟⲩ ⲉ̀ⲃⲁⲃⲩⲗⲱⲛ.		 After that Nabuchodonosor king of Babylon had carried away Jechonias, and the princes, and the captives, and the mighty men, and the people of the land, from Jerusalem, and brought them unto Babylon.	 µετὰ τὸ ἀποικίσαι Ναβουχοδονοσορ βασιλέα Βαβυλῶνος τὸν Ιεχονιαν καὶ τοὺς ἄρχοντας καὶ τοὺς δεσµώτας καὶ τοὺς δυνατοὺς καὶ τὸν λαὸν τῆς γῆς ἀπὸ Ιερουσαληµ καὶ ἤγαγεν αὐτὸν εἰς Βαβυλῶνα.						
