book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Job	1	1	 ⲛⲉ ⲟⲩⲟⲛ ⲟⲩⲣⲱⲙⲓ ⲡⲉ ⲉϥϣⲟⲡ ϧⲉⲛ ϯⲭⲱⲣⲁ ⲛ̀ⲧⲉ ϯⲁⲩⲥⲓⲇⲓⲧⲟⲥ ⲉ̀ⲡⲉϥⲣⲁⲛ ⲡⲉ ⲓⲱⲃ ⲟⲩⲟϩ ⲡⲓⲣⲱⲙⲓ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲛⲉ ⲟⲩⲑⲙⲏⲓ ⲡⲉ ⲛ̀ⲁⲧⲁⲣⲓⲕⲓ ⲟⲩⲟϩ ⲛ̀ⲑⲉⲟⲥⲉⲃⲏⲥ ⲉ̀ⲁϥϩⲉⲛϥ ⲥⲁⲃⲟⲗ ⲙ̀ⲡⲉⲧϩⲱⲟⲩ ⲛⲓⲃⲉⲛ							 Ἄνθρωπός τις ἦν ἐν χώρᾳ τῇ Αυσίτιδι, ᾧ ὄνοµα Ιωβ, καὶ ἦν ὁ ἄνθρωπος ἐκεῖνος ἀληθινός, ἄµεµπτος, δίκαιος, θεοσεβής, ἀπεχόµενος ἀπὸ παντὸς πονηροῦ πράγµατος.	 There was a certain man in the land of Ausis, whose name was Job; and than man was true, blameless, righteous, and godly, abstaining from everything evil.	 ⲛⲉⲩⲛ̅ ⲟⲩⲣⲱⲙⲉ ϩⲛ̅ ⲟⲩⲭⲱⲣⲁ. ϫⲉ ⲧⲁⲩⲥⲓⲧⲏⲥ ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲓ̈ⲱⲃ ⲁⲩⲱ ⲛⲉ ⲟⲩⲣⲙ̅ⲙ̅ⲙⲉ ⲡⲉ ⲡⲣⲱⲙⲉ ⲉⲧⲙ̅ⲙⲁⲩ. ⲛ̅ⲥⲱⲧⲡ̅ ⲛ̅ⲇⲓⲕⲁⲓⲟⲥ ⲛ̅ⲣⲉϥϣⲙ̅ϣⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲉϥⲥⲁϩⲏⲩ ⲉⲃⲟⲗ ⲛ̅ϩⲱⲃ ⲛⲓⲙ ⲉⲧϩⲟⲟⲩ.
Job	1	2	 ⲁⲥϣⲱⲡⲓ ⲇⲉ ⲛⲁϥ ⲛ̀ϫⲉ ⲍ̅ ⲛ̀ϣⲏⲣⲓ ⲛⲉⲙ ⲅ̅ ⲛ̀ϣⲉⲣⲓ							 ἐγένοντο δὲ αὐτῷ υἱοὶ ἑπτὰ καὶ θυγατέρες τρεῖς.	 And he had seven sons and three daughters.	 ⲁⲩϫⲡⲟ ⲇⲉ ⲛⲁϥ ⲛ̅ⲥⲁϣϥ̅ ⲛ̅ϣⲏⲣⲉ ⲙⲛ̅ ϣⲟⲙⲛ̅ⲧ ⲛ̅ϣⲉⲉⲣⲉ.
Job	1	3	 ⲟⲩⲟϩ ⲛⲉϥⲧⲉⲃⲛⲱⲟⲩⲓ ⲛⲉ ⲟⲩⲟⲛ ⲍ̅ ⲛ̀ϣⲟ ⲛ̀ⲉⲥⲱⲟⲩ ⲛⲉⲙ ⲅ̅ ⲛ̀ϣⲟ ⲛ̀ϫⲁⲙⲟⲩⲗ ⲛⲉⲙ ⲫ̅ ⲛ̀ϩⲉⲃⲓ ⲛ̀ⲉϩⲉ ⲛⲉⲙ ⲫ̅ ⲛ̀ϯⲉⲱ ⲛ̀ⲣⲉϥⲙⲟⲛⲓ ⲟⲩⲟϩ ⲟⲩⲛⲓϣϯ ⲛ̀ϩⲩⲡⲉⲣⲉⲥⲓⲁ ⲛⲉⲙ ϩⲁⲛⲛⲓϣϯ ⲛ̀ϩⲃⲏⲟⲩⲓ ⲛⲉⲙ ϣⲟⲡ ⲛⲁϥ ϩⲓϫⲉⲛ ⲡⲓⲕⲁϩⲓ ⲟⲩⲟϩ ⲛⲉ ⲟⲩⲣⲁⲙⲁⲟ ⲡⲉ ⲡⲓⲣⲱⲙⲓ ⲉⲧⲉⲙ̀ⲙⲁⲩ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲏ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲛⲓⲙⲁⲛ̀ϣⲁⲓ							 καὶ ἦν τὰ κτήνη αὐτοῦ πρόβατα ἑπτακισχίλια, κάµηλοι τρισχίλιαι, ζεύγη βοῶν πεντακόσια, ὄνοι θήλειαι νοµάδες πεντακόσιαι, καὶ ὑπηρεσία πολλὴ σφόδρα καὶ ἔργα µεγάλα ἦν αὐτῷ ἐπὶ τῆς γῆς· καὶ ἦν ὁ ἄνθρωπος ἐκεῖνος εὐγενὴς τῶν ἀφ’ ἡλίου ἀνατολῶν.	 And his cattle consisted of seven thousand sheep, three thousand camels, five hundred yoke of oxen, five hundred she-asses in the pastures, and a very great household, and he had a great husbandry on the earth; and that man was most noble of the men of the east.	 ⲁⲩⲱ ⲛⲉⲣⲉ ⲛⲉϥⲧⲃ̅ⲛⲟⲟⲩⲉ ⲉⲓⲣⲉ ⲛ̅ⲥⲁϣϥ̅ ⲛ̅ϣⲟ ⲛ̅ⲉⲥⲟⲟⲩ. ⲁⲩⲱ ϣⲟⲙⲛ̅ⲧ ⲛ̅ϣⲟ ⲛ̅ϭⲁⲙⲟⲩⲗ. ϯⲟⲩ ⲛ̅ϣⲉ ⲛ̅ⲥⲟⲉⲓϣ ⲛ̅ⲉϩⲉ. ⲁⲩⲱ ϯⲟⲩ ⲛ̅ϣⲉ ⲛ̅ⲓⲁ ⲥϩⲓ̈ⲙⲉ ⲛ̅ⲣⲉϥⲙⲟⲟⲛⲉ. ⲟⲩⲛⲟϭ ⲛ̅ϩⲩⲡⲏⲣⲉⲥⲓⲁ ⲙⲛ̅ ϩⲉⲛⲛⲟϭ ⲛ̅ϩⲃⲏⲩⲉ ⲉⲛⲉⲩϣⲟⲟⲡ ⲛⲁϥ ϩⲓ̈ϫⲙ̅ ⲡⲕⲁϩ. ⲁⲩⲱ ⲛⲉ ⲟⲩⲣⲙ̅ⲙⲁⲟ ⲡⲉ ⲡⲣⲱⲙⲉ ⲉⲧⲙ̅ⲙⲁⲩ ⲉⲃⲟⲗ ϩⲛ̅ ⲛⲉⲧϩⲛ̅ ⲙ̅ⲙⲁⲛ̅ϣⲁ ⲙ̅ⲡⲣⲏ.
Job	1	4	 ⲟⲩⲟϩ ⲛⲁⲣⲉ ⲛⲉϥϣⲏⲣⲓ ϩⲏⲗ ⲙ̀ⲙⲏⲛⲓ ⲁⲩⲥⲱ ⲛⲉⲙ ⲛⲟⲩⲉⲣⲏⲟⲩ ϧⲉⲛ ⲡⲏⲓ ⲙ̀ⲡⲟⲩⲛⲓϣϯ ⲛ̀ⲥⲟⲛ ⲉⲩϭⲓ ⲛⲉⲙⲱⲟⲩ ⲛ̀ⲧⲟⲩⲕⲉ ⲅ̅ ⲛ̀ⲥⲱⲛⲓ ⲉⲩⲟⲩⲱⲙ ⲟⲩⲟϩ ⲁⲩⲥⲱ ⲛⲉⲙⲱⲟⲩ							 συµπορευόµενοι δὲ οἱ υἱοὶ αὐτοῦ πρὸς ἀλλήλους ἐποιοῦσαν πότον καθ’ ἑκάστην ἡµέραν συµπαραλαµβάνοντες ἅµα καὶ τὰς τρεῖς ἀδελφὰς αὐτῶν ἐσθίειν καὶ πίνειν µετ’ αὐτῶν.	 And his sons visiting one another prepared a banquet every day, taking with them also their three sisters to eat and drink with them.	 ⲛⲉ ϣⲁⲣⲉ ⲛⲉϥϣⲏⲣⲉ ⲇⲉ ⲃⲱⲕ ⲙⲛ̅ ⲛⲉⲩⲉⲣⲏⲩ ϩⲓ̈ⲟⲩⲥⲟⲡ ⲛ̅ⲥⲉⲥⲱ ⲙ̅ⲙⲏⲛⲉ ⲉⲩϫⲓ̈ ⲛⲙ̅ⲙⲁⲩ ⲛ̅ⲧⲉⲩⲕⲉϣⲟⲙ̅ⲧ ⲛ̅ⲥⲱⲛⲉ ⲉⲩⲟⲩⲱⲙ ⲁⲩⲱ ⲉⲩⲥⲱ ⲛⲙ̅ⲙⲁⲩ.
Job	1	5	 ⲟⲩⲟϩ ⲁⲣⲉϣⲁⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲡⲓⲥⲱ ϫⲱⲕ ⲉ̀ⲃⲟⲗ ϣⲁⲣⲉ ⲓⲱⲃ ⲟⲩⲱⲣⲡ ⲉ̀ⲛⲉϥⲧⲉⲃⲛⲱⲟⲩⲓ ⲛ̀ⲧⲉϥϭⲓ ⲛ̀ⲟⲩⲙⲁⲥⲓ ⲛ̀ⲧⲉϥⲧⲁⲗⲟϥ ⲉ̀ϩⲣⲏⲓ ϧⲁ ⲛⲟⲩⲯⲩⲭⲏ ⲛⲁϥϫⲱ ⲅⲁⲣ ⲙ̀ⲙⲟⲥ ⲡⲉ ⲛ̀ϫⲉ ⲓⲱⲃ ϫⲉ ⲙⲏⲡⲱⲥ ⲁⲩⲙⲉⲩⲓ ⲉ̀ϩⲁⲛⲡⲉⲧϩⲱⲟⲩ ϧⲉⲛ ⲛⲟⲩϩⲏⲧ ⲛ̀ϫⲉ ⲛⲁϣⲏⲣⲓ ⲛⲁϩⲣⲉⲛ ⲫϯ ⲡⲁⲓⲣⲏϯ ⲟⲛ ⲛⲁϥⲓⲣⲓ ⲙ̀ⲙⲟϥ ⲛ̀ϫⲉ ⲓⲱⲃ ⲛ̀ⲛⲓⲉϩⲟⲟⲩ ⲧⲏⲣⲟⲩ							 καὶ ὡς ἂν συνετελέσθησαν αἱ ἡµέραι τοῦ πότου, ἀπέστελλεν Ιωβ καὶ ἐκαθάριζεν αὐτοὺς ἀνιστάµενος τὸ πρωὶ καὶ προσέφερεν περὶ αὐτῶν θυσίας κατὰ τὸν ἀριθµὸν αὐτῶν καὶ µόσχον ἕνα περὶ ἁµαρτίας περὶ τῶν ψυχῶν αὐτῶν· ἔλεγεν γὰρ Ιωβ Μήποτε οἱ υἱοί µου ἐν τῇ διανοίᾳ αὐτῶν κακὰ ἐνενόησαν πρὸς θεόν. οὕτως οὖν ἐποίει Ιωβ πάσας τὰς ἡµέρας.	 And when the days of the banquet were completed, Job sent and purified them, having risen up in the morning, and offered sacrifices for them, according to their number, and one calf for a sin-offering for their souls: for Job said, Lest peradventure my sons have thought evil in their minds against God. Thus, then Job did continually.	 ⲁⲩⲱ ⲉⲣϣⲁⲛ ⲛⲉϩⲟⲟⲩ ⲙ̅ⲡⲥⲱ ϫⲱⲕ ⲉⲃⲟⲗ. ϣⲁⲣⲉ ⲓ̈ⲱⲃ ϫⲟⲟⲩ ⲛϥ̅ⲧⲃ̅ⲃⲟⲟⲩ ϣⲁϥⲧⲱⲟⲩⲛ ⲉϩⲧⲟⲟⲩⲉ ⲛϥ̅ⲧⲁⲗⲟ ⲉϩⲣⲁⲓ̈ ⲛ̅ϩⲉⲛⲑⲩⲥⲓⲁ ϩⲁⲣⲟⲟⲩ ⲕⲁⲧⲁ ⲧⲉⲩⲏⲡⲉ. ⲁⲩⲱ ⲟⲩⲙⲁⲥⲉ ϩⲁ ⲛⲟⲃⲉ ⲉⲧⲃⲉ ⲛⲉⲩⲯⲩⲭⲏ. ⲛⲉⲣⲉⲣⲉ ⲓ̈ⲱⲃ ⲅⲁⲣ ϫⲱ ⲙ̅ⲙⲟⲥ ϫⲉ ⲙⲉϣⲁⲕ ⲁ ⲛⲁϣⲏⲣⲉ ⲙⲉⲉⲩⲉ ⲉϩⲉⲛⲡⲉⲑⲟⲟⲩ ϩⲙ ⲡⲉⲩϩⲏⲧ ⲉⲡⲛⲟⲩⲧⲉ. ⲧⲁⲓ̈ ϭⲉ ⲧⲉ ⲑⲉ ⲉⲛⲉⲣⲉ ⲓ̈ⲱⲃ ⲉⲓⲣⲉ ⲙ̅ⲙⲟⲥ ⲛ̅ⲛⲉϩⲟⲟⲩ ⲧⲏⲣⲟⲩ.
Job	1	6	 ⲁϥϣⲱⲡⲓ ⲇⲉ ⲛ̀ϫⲉ ⲡⲁⲓⲉϩⲟⲟⲩ ⲁⲩⲓ̀ ⲛ̀ϫⲉ ⲛⲓⲁⲅⲅⲉⲗⲟⲥ ⲛ̀ⲧⲉ ⲫϯ ⲉ̀ⲟϩⲓ ⲉ̀ⲣⲁⲧⲟⲩ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲡϭ̅ⲥ̅ ⲟⲩⲟϩ ⲁϥⲓ̀ ϩⲱϥ ⲛ̀ϫⲉ ⲡⲓⲇⲓⲁⲃⲟⲗⲟⲥ ⲛⲉⲙⲱⲟⲩ ⲟⲩⲟϩ ⲁϥⲟϩⲓ ϩⲓϫⲉⲛ ⲡⲓⲕⲁϩⲓ ⲟⲩⲟϩ ⲁϥⲥⲓⲛⲓ ⲛ̀ϧⲏⲧϥ							 Καὶ ὡς ἐγένετο ἡ ἡµέρα αὕτη, καὶ ἰδοὺ ἦλθον οἱ ἄγγελοι τοῦ θεοῦ παραστῆναι ἐνώπιον τοῦ κυρίου, καὶ ὁ διάβολος ἦλθεν µετ’ αὐτῶν.	 And it came to pass on a day, that behold, the angels of God came to stand before the Lord, and the devil came with them.	 ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲙ̅ⲡⲉⲓ̈ϩⲟⲟⲩ ⲁ ⲛ̅ⲁⲅⲅⲉⲗⲟⲥ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲉⲓ ⲁⲩⲁϩⲉⲣⲁⲧⲟⲩ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲙ̅ⲡϫⲟⲉⲓⲥ. ⲁⲩⲱ ⲁ ⲡⲇⲓⲁⲃⲟⲗⲟⲥ ⲉⲓ ⲉⲧⲉⲩⲙⲏⲧⲉ. ⲁϥⲕⲧⲉ ⲡⲕⲁϩ ⲉϥⲙⲟⲟϣⲉ ⲛ̅ϩⲏⲧϥ̅.
Job	1	7	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲙ̀ⲡⲓⲇⲓⲁⲃⲟⲗⲟⲥ ϫⲉ ⲉⲧⲁⲕⲓ̀ ⲉ̀ⲃⲟⲗ ⲑⲱⲛ ⲛ̀ⲑⲟⲕ ⲟⲩⲟϩ ⲁϥⲉ̀ⲣⲟⲩⲱ ⲛ̀ϫⲉ ⲡⲓⲇⲓⲁⲃⲟⲗⲟⲥ ⲡⲉϫⲁϥ ϫⲉ ⲁⲓⲙⲉϣⲧ ⲙ̀ⲡⲓⲕⲁϩⲓ ⲧⲏⲣϥ ⲟⲩⲟϩ ⲁⲓⲙⲉϣⲧ ⲥⲁⲡⲉⲥⲏⲧ ⲛ̀ⲧⲫⲉ ⲟⲩⲟϩ ϯ ⲙ̀ⲡⲁⲓⲙⲁ							 καὶ εἶπεν ὁ κύριος τῷ διαβόλῳ Πόθεν παραγέγονας; καὶ ἀποκριθεὶς ὁ διάβολος τῷ κυρίῳ εἶπεν Περιελθὼν τὴν γῆν καὶ ἐµπεριπατήσας τὴν ὑπ’ οὐρανὸν πάρειµι.	 And the Lord said to the devil, Whence art thou come? And the devil answered the Lord, and said, I am come from compassing the earth, and walking up and down in the world.	 ⲡⲉϫⲉ ⲡϫⲟⲉⲓⲥ ⲇⲉ ⲙ̅ⲡⲇⲓⲁⲃⲟⲗⲟⲥ ϫⲉ ⲛ̅ⲧⲁⲕⲉⲓ ⲧⲱⲛ. ⲁ ⲡⲇⲓⲁⲃⲟⲗⲟⲥ ⲟⲩⲱϣϥ̅ ⲡⲉϫⲁϥ ϫⲉ ⲁⲓ̈ⲙⲉϣⲧ̅ ⲡⲕⲁϩ. ⲁⲩⲱ ⲁⲓ̈ⲙⲟⲟϣⲉ ϩⲁ ⲧⲡⲉ ϯ ⲙ̅ⲡⲉⲓ̈ⲙⲁ.
Job	1	8	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲛⲁϥ ϫⲉ ⲁⲕϯϩⲑⲏⲕ ⲟⲩⲛ ϧⲉⲛ ⲡⲉⲕϩⲏⲧ ⲉ̀ϫⲉⲛ ⲡⲁⲁⲗⲟⲩ ⲓⲱⲃ ϫⲉ ⲙ̀ⲙⲟⲛ ⲡⲉⲧⲟⲛⲓ ⲙ̀ⲙⲟϥ ϧⲉⲛ ⲡⲉⲧϣⲟⲡ ϩⲓϫⲉⲛ ⲡⲕⲁϩⲓ ⲟⲩⲑⲙⲏⲓ ⲡⲉ ⲛ̀ⲁⲧⲁⲣⲓⲕⲓ ⲟⲩⲟϩ ⲛ̀ⲑⲉⲟⲥⲉⲃⲏⲥ ⲉⲧⲁϥϩⲉⲛϥ ⲥⲁⲃⲟⲗ ⲙ̀ⲡⲉⲧϩⲱⲟⲩ ⲛⲓⲃⲉⲛ							 καὶ εἶπεν αὐτῷ ὁ κύριος Προσέσχες τῇ διανοίᾳ σου κατὰ τοῦ παιδός µου Ιωβ, ὅτι οὐκ ἔστιν κατ’ αὐτὸν τῶν ἐπὶ τῆς γῆς ἄνθρωπος ἄµεµπτος, ἀληθινός, θεοσεβής, ἀπεχόµενος ἀπὸ παντὸς πονηροῦ πράγµατος;	 And the Lord said to him, Hast thou diligently considered my servant Job, that there is none like him on the earth, a man blameless, true, godly, abstaining from everything evil?	 ⲡⲉϫⲉ ⲡϫⲟⲉⲓⲥ ⲇⲉ ⲛⲁϥ. ϫⲉ ⲁⲕϯϩⲧⲏⲕ ϩⲙ̅ ⲡⲉⲕϩⲏⲧ ⲉⲡⲁϩⲙ̅ϩⲁⲗ ⲓ̈ⲱⲃ. ϫⲉ ⲙ̅ⲙⲛ̅ ⲣⲱⲙⲉ ⲧⲛ̅ⲧⲱⲛ ⲉⲣⲟϥ ϩⲓ̈ϫⲙ̅ ⲡⲕⲁϩ. ⲛ̅ⲥⲱⲧⲡ̅ ⲛ̅ⲣⲙ̅ⲙⲙⲉ ⲛ̅ⲣⲉϥϣⲙ̅ϣⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ. ⲉϥⲥⲁϩⲏⲩ ⲉⲃⲟⲗ ⲙ̅ⲡⲉⲑⲟⲟⲩ ⲛⲓⲙ.
Job	1	9	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡⲓⲇⲓⲁⲃⲟⲗⲟⲥ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲉ̀ⲃⲟⲗ ⲙ̀ⲡϭ̅ⲥ̅ ϫⲉ ⲙⲏ ⲁⲣⲉ ⲓⲱⲃ ϣⲉⲙϣⲓ ⲙ̀ⲡϭ̅ⲥ̅ ⲛ̀ϫⲓⲛϫⲏ							 ἀπεκρίθη δὲ ὁ διάβολος καὶ εἶπεν ἐναντίον τοῦ κυρίου Μὴ δωρεὰν σέβεται Ιωβ τὸν θεόν;	 Then the devil answered, and said before the Lord, Does Job worship the Lord for nothing?	 ⲁ ⲡⲇⲓⲁⲃⲟⲗⲟⲥ ⲟⲩⲱϣⲃ̅ ⲙ̅ⲡⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲉϥϫⲱ ⲙ̅ⲙⲟⲥ ϫⲉ ⲙⲏ ⲉⲣⲉ ⲓ̈ⲱⲃ ϣⲙ̅ϣⲉ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲛ̅ϫⲓⲛϫⲏ.
Job	1	10	 ⲙⲏ ⲛ̀ⲑⲟⲕ ⲁⲛ ⲁⲕⲧⲁⲛϣⲟ ⲛ̀ⲛⲉϥϩⲓⲡⲁⲣⲭⲱⲛⲧⲁ ⲁⲕⲥⲙⲟⲩ ⲉ̀ⲛⲏ ⲉⲧⲥⲁϧⲟⲩⲛ ⲛⲉⲙ ⲛⲏ ⲉⲧⲥⲁⲃⲟⲗ ⲙ̀ⲡⲉϥⲏⲓ ⲛⲉⲙ ⲉⲛⲭⲁⲓ ⲛⲓⲃⲉⲛ ⲉⲧⲉⲛ̀ⲧⲁϥ ⲉϥⲕⲱϯ ⲛⲓϩⲃⲏⲟⲩⲓ ⲛ̀ⲧⲉ ⲛⲉϥϫⲓϫ ⲁⲕⲥⲙⲟⲩ ⲉ̀ⲣⲱⲟⲩ ⲛⲉϥⲧⲉⲃⲛⲱⲟⲩⲓ ⲁⲕⲑⲣⲟⲩⲁϣⲁⲓ ϩⲓϫⲉⲛ ⲡⲕⲁϩⲓ							 οὐ σὺ περιέφραξας τὰ ἔξω αὐτοῦ καὶ τὰ ἔσω τῆς οἰκίας αὐτοῦ καὶ τὰ ἔξω πάντων τῶν ὄντων αὐτῷ κύκλῳ; τὰ ἔργα τῶν χειρῶν αὐτοῦ εὐλόγησας καὶ τὰ κτήνη αὐτοῦ πολλὰ ἐποίησας ἐπὶ τῆς γῆς.	 Hast thou not made a hedge about him, and about his household, and all his possessions round about? and hast thou not blessed the works of his hands, and multiplied his cattle upon the land?	 ⲙⲏ ⲛ̅ⲧⲟⲕ ⲁⲛ ⲡⲉⲛⲧⲁⲕⲧⲁϣⲉ ⲛⲁ ⲡⲉϥⲃⲟⲗ. ⲙⲛ̅ ⲛⲁ ⲡϩⲟⲩⲛ ⲙ̅ⲡⲉϥⲏⲓ̈. ⲁⲩⲱ ⲛⲉⲧⲙ̅ⲡⲃⲟⲗ ⲛ̅ⲛ̅ⲕⲁ ⲛⲓⲙ ⲉⲧϣⲟⲟⲡ ⲛⲁϥ ⲙ̅ⲡⲉϥⲕⲱⲧⲉ. ⲁⲕⲥⲙⲟⲩ ⲉⲛⲉϥϩⲃⲏⲩⲉ ⲧⲏⲣⲟⲩ. ⲁⲩⲱ ⲁⲕⲧⲁϣⲉ ⲛⲉϥⲧⲃ̅ⲛⲟⲟⲩⲉ ϩⲓ̈ϫⲙ̅ ⲡⲕⲁϩ.
