book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Epistle to the Ephesians	1		ⲡⲣⲟⲥ ⲉⲫⲉⲥⲓⲟⲩⲥ ⲉ̅ ⲁ									
Epistle to the Ephesians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲉⲧⲉϩⲛⲁϥ ⲙ̀ⲫϯ ⲛ̀ⲛⲓⲁⲅⲓⲟⲥ ⲧⲏⲣⲟⲩ ⲉⲧϣⲟⲡ ϧⲉⲛ ⲉⲫⲉⲥⲟⲥ ⲟⲩⲟϩ ⲙ̀ⲡⲓⲥⲧⲟⲥ ⲉⲧϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅							 Παῦλος ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος θεοῦ τοῖς ἁγίοις τοῖς οὖσιν [ἐν Ἐφέσῳ] καὶ πιστοῖς ἐν Χριστῷ Ἰησοῦ·	 Paul, (the) apostle of Jesus Christ through the will of God, to all the saints who are in Ephesos, and faithful who (are) in Christ Jesus.	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ϩⲓⲧⲙ̅ ⲡⲟⲩⲱϣ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲉϥⲥϩⲁⲓ ⲛ̅ⲛⲉⲧⲟⲩⲁⲁⲃ ⲉⲧϣⲟⲟⲡ ϩⲛ̅ ⲉⲫⲉⲥⲟⲥ. ⲁⲩⲱ ⲙ̅ⲡⲓⲥⲧⲟⲥ ⲉⲧϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅.
Epistle to the Ephesians	1	2	 ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ.	 (The) grace to you and (the) peace from God our Father and our Lord Jesus Christ.	 ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅:
Epistle to the Ephesians	1	3	 ϥⲥⲙⲁⲙⲁⲧ ⲫϯ ⲟⲩⲟϩ ⲫⲓⲱⲧ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲫⲏ ⲉⲧⲁϥⲥⲙⲟⲩ ⲉ̀ⲣⲟⲛ ϧⲉⲛ ⲥⲙⲟⲩ ⲛⲓⲃⲉⲛ ⲙⲡⲛ̅ⲁ̅ⲧⲓⲕⲟⲛ ϧⲉⲛ ⲛⲁ ⲛⲓⲫⲏⲟⲩⲓ ϧⲉⲛ ⲡⲭ̅ⲥ̅							 Εὐλογητὸς ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ εὐλογήσας ἡμᾶς ἐν πάσῃ εὐλογίᾳ πνευματικῇ ἐν τοῖς ἐπουρανίοις ἐν Χριστῷ,	 Blessed is God and the Father of our Lord Jesus Christ, who blessed us in all spiritual blessing in the (places) of the heavens in Christ.	 ϥⲥⲙⲁⲙⲁⲁⲧ ⲛ̅ϭⲓ ⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡⲉⲓⲱⲧ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅. ⲡⲉⲛⲧⲁϥⲥⲙⲟⲩ ⲉⲣⲟⲛ ϩⲛ̅ ⲥⲙⲟⲩ ⲛⲓⲙ ⲙ̅ⲡⲛ̅ⲁ̅ⲧⲓⲕⲟⲛ ⲉⲧϩⲛ̅ ⲙ̅ⲡⲏⲩⲉ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅.
Epistle to the Ephesians	1	4	 ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁϥⲥⲟⲧⲡⲉⲛ ⲛ̀ϧⲏⲧϥ ϧⲁϫⲉⲛ ⲧⲕⲁⲧⲁⲃⲟⲗⲏ ⲙ̀ⲡⲓⲕⲟⲥⲙⲟⲥ ϫⲉ ⲛ̀ⲧⲉⲛϣⲱⲡⲓ ⲉⲛⲟⲩⲁⲃ ⲉⲛⲟⲓ ⲛ̀ⲁⲧⲑⲱⲗⲉⲃ ⲙ̀ⲡⲉϥⲙ̀ⲑⲟ ϧⲉⲛ ⲟⲩⲁⲅⲁⲡⲏ							 καθὼς ἐξελέξατο ἡμᾶς ἐν αὐτῷ πρὸ καταβολῆς κόσμου, εἶναι ἡμᾶς ἁγίους καὶ ἀμώμους κατενώπιον αὐτοῦ ἐν ἀγάπῃ,	 According as he chose us in him before (the) foundation of the world, that we might be holy, being stainless before him in [a] love:	 ⲕⲁⲧⲁ ⲑⲉ ⲉⲛⲧⲁϥⲥⲟⲧⲡⲛ̅ ⲛ̅ϩⲏⲧϥ̅ ϩⲁⲑⲏ ⲛ̅ⲧⲕⲁⲧⲁⲃⲟⲗⲏ ⲙ̅ⲡⲕⲟⲥⲙⲟⲥ. ⲉⲧⲣⲉⲛϣⲱⲡⲉ ⲉⲛⲟⲩⲁⲁⲃ ⲉⲛⲟ ⲛ̅ⲁⲧⲧⲱⲗⲙ̅ ⲙ̅ⲡⲉϥⲙ̅ⲧⲟ ⲉⲃⲟⲗ ϩⲛ̅ ⲟⲩⲁⲅⲁⲡⲏ.
Epistle to the Ephesians	1	5	 ⲉ̀ⲁϥⲉⲣϣⲟⲣⲡ ⲛ̀ⲑⲁϣⲧⲉⲛ ⲉ̀ⲟⲩⲙⲉⲧϣⲏⲣⲓ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲣⲟϥ ⲕⲁⲧⲁ ⲡⲓϯⲙⲁϯ ⲛ̀ⲧⲉ ⲡⲉⲧⲉϩⲛⲁϥ							 προορίσας ἡμᾶς εἰς υἱοθεσίαν διὰ Ἰησοῦ Χριστοῦ εἰς αὐτόν, κατὰ τὴν εὐδοκίαν τοῦ θελήματος αὐτοῦ,	 he having foreordained us unto [a] son-ship through Jesus Christ into him, according to the good pleasure of his will,	 ⲉⲁⲩⲡⲟⲣϫⲛ̅ ⲉⲃⲟⲗ ϫⲓⲛ ⲛ̅ϣⲟⲣⲡ̅ ⲉⲩⲙⲛ̅ⲧϣⲏⲣⲉ ϩⲓⲧⲛ̅ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉϩⲟⲩⲛ ⲉⲣⲟϥ. ⲕⲁⲧⲁ ⲡⲧⲱⲧ ⲛ̅ϩⲏⲧ ⲙ̅ⲡⲉϥⲟⲩⲱϣ.
Epistle to the Ephesians	1	6	 ⲉⲩϣⲟⲩϣⲟⲩ ⲛ̀ⲧⲉ ⲡⲱⲟⲩ ⲛ̀ⲧⲉ ⲡⲉϥϩⲙⲟⲧ ⲫⲁⲓ ⲉⲧⲁϥⲧⲏⲓϥ ⲛⲁⲛ ⲛ̀ϩⲙⲟⲧ ϧⲉⲛ ⲡⲉϥⲙⲉⲛⲣⲓⲧ							 εἰς ἔπαινον δόξης τῆς χάριτος αὐτοῦ ἧς ἐχαρίτωσεν ἡμᾶς ἐν τῷ ἠγαπημένῳ,	 unto a praise of (the) glory of his grace, this which he granted to us in his beloved,	 ⲉⲛⲧⲁⲉⲓⲟ ⲙ̅ⲡⲉⲟⲟⲩ ⲛ̅ⲧⲉϥⲭⲁⲣⲓⲥ. ⲧⲁⲓ ⲉⲛⲧⲁϥϯϩⲙⲟⲧ ⲛⲁⲛ ⲛ̅ϩⲏⲧⲥ ϩⲙ̅ ⲡⲉϥⲙⲉⲣⲓⲧ ⲛ̅ϣⲏⲣⲉ.
Epistle to the Ephesians	1	7	 ⲫⲏ ⲉⲧⲁⲛϭⲓ ⲙ̀ⲡⲓⲥⲱϯ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲉϥⲥⲛⲟϥ ⲡⲓⲭⲱ ⲉ̀ⲃⲟⲗ ⲛ̀ⲧⲉ ⲛⲉⲛⲡⲁⲣⲁⲡⲧⲱⲙⲁ ⲕⲁⲧⲁ ϯⲙⲉⲧⲣⲁⲙⲁⲟ ⲛ̀ⲧⲉ ⲧⲉϥⲙⲉⲧⲭⲣ̅ⲥ̅							 ἐν ᾧ ἔχομεν τὴν ἀπολύτρωσιν διὰ τοῦ αἵματος αὐτοῦ, τὴν ἄφεσιν τῶν παραπτωμάτων, κατὰ τὸ πλοῦτος τῆς χάριτος αὐτοῦ	 he through whose blood we received the redemption, the forgiveness of our transgressions. According to the riches of his kindness,	 ⲡⲁⲓ ⲉⲛⲧⲁⲛϫⲓ ⲛ̅ϩⲏⲧϥ̅ ⲙ̅ⲡⲥⲱⲧⲉ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲉϥⲥⲛⲟϥ ⲡⲕⲱ ⲉⲃⲟⲗ ⲛ̅ⲛ̅ⲛⲟⲃⲉ. ⲕⲁⲧⲁ ⲧⲙⲛ̅ⲧⲣⲙ̅ⲙⲁⲟ ⲛ̅ⲧⲉϥⲭⲁⲣⲓⲥ.
Epistle to the Ephesians	1	8	 ⲑⲁⲓ ⲉⲧⲁⲥⲉⲣϩⲟⲩⲟ ⲉ̀ϧⲟⲩⲛ ⲉⲣⲟⲛ ϧⲉⲛ ⲥⲟⲫⲓⲁ ⲛⲓⲃⲉⲛ ⲛⲉⲙ ⲕⲁϯ ⲛⲓⲃⲉⲛ							 ἧς ἐπερίσσευσεν εἰς ἡμᾶς ἐν πάσῃ σοφίᾳ καὶ φρονήσει	 this which abounded into us, in all wisdom and all understanding,	 ⲧⲁⲓ ⲉⲛⲧⲁϥⲧⲣⲉⲥⲣ̅ϩⲟⲩⲟ ⲉϩⲟⲩⲛ ⲉⲣⲟⲛ ϩⲛ̅ ⲥⲟⲫⲓⲁ ⲛⲓⲙ. ϩⲓ ⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ.
Epistle to the Ephesians	1	9	 ⲉ̀ⲁϥⲧⲁⲙⲟⲛ ⲉ̀ⲡⲓⲙⲩⲥⲧⲏⲣⲓⲟⲛ ⲛ̀ⲧⲉ ⲡⲉⲧⲉϩⲛⲁϥ ⲕⲁⲧⲁ ⲡⲉϥϯⲙⲁϯ ⲫⲁⲓ ⲉⲧⲁϥⲉⲣϣⲟⲣⲡ ⲛ̀ⲥⲉⲙⲛⲏⲧϥ ⲛ̀ϧⲏⲧϥ							 γνωρίσας ἡμῖν τὸ μυστήριον τοῦ θελήματος αὐτοῦ, κατὰ τὴν εὐδοκίαν αὐτοῦ ἣν προέθετο ἐν αὐτῷ	 he having shewn to us the mystery of his will, according to his good pleasure, this which he pre-established in him,	 ⲉⲁϥⲧⲁⲙⲟⲛ ⲉⲡⲙⲩⲥⲧⲏⲣⲓⲟⲛ ⲙ̅ⲡⲉϥⲟⲩⲱϣ. ⲕⲁⲧⲁ ⲡⲉϥⲧⲱⲧ ⲛ̅ϩⲏⲧ ⲉⲛⲧⲁϥⲕⲁⲁϥ ⲛ̅ϩⲏⲧϥ̅ ϫⲓⲛ ⲛ̅ϣⲟⲣⲡ̅.
