book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Second Kings	4	1								 Καὶ γυνὴ µία ἀπὸ τῶν υἱῶν τῶν προφητῶν ἐβόα πρὸς Ελισαιε λέγουσα Ὁ δοῦλός σου ὁ ἀνήρ µου ἀπέθανεν, καὶ σὺ ἔγνως ὅτι δοῦλος ἦν φοβούµενος τὸν κύριον· καὶ ὁ δανιστὴς ἦλθεν λαβεῖν τοὺς δύο υἱούς µου ἑαυτῷ εἰς δούλους.	 And one of the wives of the sons of the prophets cried to Elisaie, saying, Thy servant my husband is dead; and thou knowest that thy servant feared the Lord: and the creditor is come to take my two sons to be his servants.	
Second Kings	4	2								 καὶ εἶπεν Ελισαιε Τί ποιήσω σοι; ἀνάγγειλόν µοι τί ἐστίν σοι ἐν τῷ οἴκῳ. ἡ δὲ εἶπεν Οὐκ ἔστιν τῇ δούλῃ σου οὐθὲν ἐν τῷ οἴκῳ ὅτι ἀλλ’ ἢ ὃ ἀλείψοµαι ἔλαιον.	 And Elisaie said, What shall I do for thee? tell me what thou hast in the house. And she said, Thy servant has nothing in the house, except oil wherewith I anoint myself.	
Second Kings	4	3								 καὶ εἶπεν πρὸς αὐτήν Δεῦρο αἴτησον σαυτῇ σκεύη ἔξωθεν παρὰ πάντων τῶν γειτόνων σου, σκεύη κενά, µὴ ὀλιγώσῃς,	 And he said to her, Go, borrow for thyself vessels without of all thy neighbours, even empty vessels; borrow not a few.	
Second Kings	4	4								 καὶ εἰσελεύσῃ καὶ ἀποκλείσεις τὴν θύραν κατὰ σοῦ καὶ κατὰ τῶν υἱῶν σου καὶ ἀποχεεῖς εἰς τὰ σκεύη ταῦτα καὶ τὸ πληρωθὲν ἀρεῖς.	 And thou shalt go in and shut the door upon thee and upon thy sons, and thou shalt pour forth into these vessels, and remove that which is filled.	
Second Kings	4	5								 καὶ ἀπῆλθεν παρ’ αὐτοῦ καὶ ἐποίησεν οὕτως καὶ ἀπέκλεισεν τὴν θύραν κατ’ αὐτῆς καὶ κατὰ τῶν υἱῶν αὐτῆς· αὐτοὶ προσήγγιζον πρὸς αὐτήν, καὶ αὐτὴ ἐπέχεεν,	 And she departed from him, and shut the door upon herself and upon her sons: they brought the vessels near to her, and she poured in until the vessels were filled.	
Second Kings	4	6								 ἕως ἐπλήσθησαν τὰ σκεύη. καὶ εἶπεν πρὸς τοὺς υἱοὺς αὐτῆς Ἐγγίσατε ἔτι πρός µε σκεῦος· καὶ εἶπον αὐτῇ Οὐκ ἔστιν ἔτι σκεῦος· καὶ ἔστη τὸ ἔλαιον.	 And she said to her sons, Bring me yet a vessel. And they said to her, There is not a vessel more. And the oil stayed.	
Second Kings	4	7								 καὶ ἦλθεν καὶ ἀπήγγειλεν τῷ ἀνθρώπῳ τοῦ θεοῦ, καὶ εἶπεν Ελισαιε Δεῦρο καὶ ἀπόδου τὸ ἔλαιον καὶ ἀποτείσεις τοὺς τόκους σου, καὶ σὺ καὶ οἱ υἱοί σου ζήσεσθε ἐν τῷ ἐπιλοίπῳ ἐλαίῳ.	 And she came and told the man of God: and Elisaie said, Go, and sell the oil, and thou shalt pay thy debts, and thou and thy sons shall live of the remaining oil.	
Second Kings	4	8	 ⲟⲩⲟϩ ⲁϥϣⲱⲡⲓ ⲛ̀ϫⲉ ⲟⲩⲉϩⲟⲟⲩ ⲁϥⲥⲓⲛⲓ ⲛ̀ϫⲉ ⲉⲗⲓⲥⲥⲉⲟⲥ ⲉⲥⲱⲙⲁⲛ ⲟⲩⲟϩ ⲛⲉ ⲟⲩⲟⲛ ⲟⲩⲛⲓϣϯ ⲛ̀ⲥϩⲓⲙⲓ ⲙ̀ⲙⲁⲩ ⲡⲉ ⲟⲩⲟϩ ⲁⲥⲁⲙⲟⲛⲓ ⲙ̀ⲙⲟϥ ⲉ̀ⲟⲩⲱⲙ ⲛ̀ⲟⲩⲱⲓⲕ ⲟⲩⲟϩ ⲁⲥϣⲱⲡⲓ ⲉⲧⲁϥⲱⲥⲕ ⲉϥⲛⲁ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲙⲁⲩ ⲟⲩⲟϩ ⲉϥⲛⲏⲟⲩ ⲉⲃⲟⲗ ⲁϥⲣⲓⲕⲓ ⲉ̀ⲙⲁⲩ ⲉ̀ⲟⲩⲱⲙ ⲟⲩⲱⲓⲕ							 Καὶ ἐγένετο ἡµέρα καὶ διέβη Ελισαιε εἰς Σουµαν, καὶ ἐκεῖ γυνὴ µεγάλη καὶ ἐκράτησεν αὐτὸν φαγεῖν ἄρτον. καὶ ἐγένετο ἀφ’ ἱκανοῦ τοῦ εἰσπορεύεσθαι αὐτὸν ἐξέκλινεν τοῦ ἐκεῖ φαγεῖν.	 And a day came, when Elisaie passed over to Soman, and there was a great lady there, and she constrained him to eat bread: and it came to pass as often as he went into the city, that he turned aside to eat there.	
Second Kings	4	9	 ⲟⲩⲟϩ ⲡⲉϫⲉ ϯⲥϩⲓⲙⲓ ⲙ̀ⲡⲉⲥϩⲁⲓ ϫⲉ ⲓⲥ ⲁⲓⲉⲙⲓ ϫⲉ ⲟⲩⲣⲱⲙⲓ ⲛ̀ⲧⲉ ⲫϯ ⲡⲉ ⲫⲁⲓ ⲉϥⲟⲩⲁⲃ ⲉϥⲛⲏⲟⲩ ϩⲁⲣⲟⲛ ⲉϥⲙⲏⲛ							 καὶ εἶπεν ἡ γυνὴ πρὸς τὸν ἄνδρα αὐτῆς Ἰδοὺ δὴ ἔγνων ὅτι ἄνθρωπος τοῦ θεοῦ ἅγιος οὗτος διαπορεύεται ἐφ’ ἡµᾶς διὰ παντός·	 And the woman said to her husband, See now, I know that this is a holy man of God who comes over continually to us.	
Second Kings	4	10	 ⲙⲁⲣⲉⲛⲑⲁⲙⲓⲟ ⲛⲁϥ ⲛ̀ⲟⲩⲕⲟⲩϫⲓ ⲙ̀ⲙⲁ ⲥⲁⲡϣⲱⲓ ⲟⲩⲟϩ ⲛ̀ⲧⲉⲛⲭⲁ ⲟⲩϭⲗⲟϫ ⲛⲁϥ ⲙ̀ⲙⲁⲩ ⲛⲉⲙ ⲟⲩⲧⲣⲁⲡⲉⲍⲁ ⲛⲉⲙ ⲟⲩⲧⲟⲧⲥ ⲛⲉⲙ ⲟⲩⲗⲩⲭⲛⲓⲁ ⲟⲩⲟϩ ⲉⲥⲉ̀ϣⲱⲡⲓ ⲁϥϣⲁⲛⲓ̀ ⲉ̀ϧⲟⲩⲛ ϩⲁⲣⲟⲛ ⲉϥⲉ̀ⲣⲓⲕⲓ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲙⲁⲩ							 ποιήσωµεν δὴ αὐτῷ ὑπερῷον τόπον µικρὸν καὶ θῶµεν αὐτῷ ἐκεῖ κλίνην καὶ τράπεζαν καὶ δίφρον καὶ λυχνίαν, καὶ ἔσται ἐν τῷ εἰσπορεύεσθαι πρὸς ἡµᾶς καὶ ἐκκλινεῖ ἐκεῖ.	 Let us now make for him an upper chamber, a small place; and let us put there for him a bed, and a table, and a stool, and a candlestick: and it shall come to pass that when he comes in to us, he shall turn in thither.	
