book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Acts of the Apostles	1		ⲡⲣⲁⲝⲓⲥ ⲧⲟⲛ ⲁⲅⲓⲟⲛ ⲁⲡⲟⲥⲧⲟⲗⲟⲛ									ⲛⲉⲡⲣⲁⲝⲓⲥ ⲛ̅ⲛ̅ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
Acts of the Apostles	1	1	 ⲡⲓϩⲟⲩⲓⲧ ⲙⲉⲛ ⲛ̀ⲥⲁϫⲓ ⲁⲓⲁⲓϥ ⲉⲑⲃⲉ ϩⲱⲃ ⲛⲓⲃⲉⲛ ⲱ ⲑⲉⲟ̀ⲫⲩⲗⲗⲉ ϧⲉⲛ ⲛⲏ ⲉⲧⲁ ⲓⲏ̅ⲥ̅ ϩⲓⲧⲟⲧϥ ⲉ̀ⲁⲓⲧⲟⲩ ⲟⲩⲟϩ ⲉ̀ϯⲥⲃⲱ							 Τὸν μὲν πρῶτον λόγον ἐποιησάμην περὶ πάντων, ὦ Θεόφιλε, ὧν ἤρξατο ὁ Ἰησοῦς ποιεῖν τε καὶ διδάσκειν	 The first treatise indeed I made concerning all things, O Theophylle, amongst those which Jesus began to do [them] and to teach,	 ⲡϣⲟⲣⲡ ⲙⲉⲛ ⲛ̅ⲗⲟⲅⲟⲥ ⲁⲓⲧⲁⲙⲓⲟϥ ⲱ ⲑⲉⲟⲫⲓⲗⲉ. ⲉⲧⲃⲉ ϩⲱⲃ ⲛⲓⲙ ⲛ̅ⲧⲁ ⲓ̅ⲥ̅ ⲁⲣⲭⲉⲓ ⲛ̅ⲁⲁⲩ. ⲁⲩⲱ ⲛ̅ϯⲥⲃⲱ ⲛ̅ϩⲏⲧⲟⲩ.
Acts of the Apostles	1	2	 ϣⲁ ⲡⲓⲉ̀ϩⲟⲟⲩ ⲉⲧⲁϥϩⲟⲛϩⲉⲛ ⲉ̀ⲧⲟⲧⲟⲩ ⲛ̀ⲛⲓⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲓⲡⲛ̅ⲁ̅ ⲉⲑⲟⲩⲁⲃ ⲛⲏ ⲉⲧⲁϥⲥⲟⲧⲡⲟⲩ ⲁⲩⲟⲗϥ ⲉ̀ⲧⲫⲉ							 ἄχρι ἧς ἡμέρας ἐντειλάμενος τοῖς ἀποστόλοις διὰ πνεύματος ἁγίου οὓς ἐξελέξατο ἀνελήμφθη·	 until the day (in which), having charged the apostles through the holy spirit, those whom he chose, he was taken away to (the) heaven.	 ϣⲁϩⲣⲁⲓ ⲉⲡⲉϩⲟⲟⲩ ⲛ̅ⲧⲁⲩⲁⲛⲁⲗⲁⲙⲃⲁⲛⲉ ⲙ̅ⲙⲟϥ. ⲉⲁϥϩⲱⲛ ⲉⲧⲟⲟⲧⲟⲩ ⲛ̅ⲛ̅ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ϩⲓⲧⲙ̅ ⲡⲉⲡⲛ̅ⲁ̅ ⲉⲧⲟⲩⲁⲁⲃ ⲉⲧⲁϣⲉⲟⲉⲓϣ ⲙ̅ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ. ⲛⲁⲓ ⲛ̅ⲧⲁϥⲥⲟⲧⲡⲟⲩ.
Acts of the Apostles	1	3	 ⲛⲁⲓ ⲉⲧⲁϥⲟⲩⲟⲛϩϥ ⲉ̀ⲣⲱⲟⲩ ⲉϥⲟⲛϧ ⲙⲉⲛⲉⲛⲥⲁ ⲉⲧⲁϥϣⲉⲡⲙⲕⲁϩ ϧⲉⲛ ⲟⲩⲙⲏϣ ⲙ̀ⲙⲏⲓⲛⲓ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲙ̅ ⲛ̀ⲉϩⲟⲟⲩ ⲉϥⲟⲩⲟⲛϩ ⲙ̀ⲙⲟϥ ⲉ̀ⲣⲱⲟⲩ ⲟⲩⲟϩ ⲉϥⲥⲁϫⲓ ⲛⲉⲙⲱⲟⲩ ⲉⲑⲃⲉ ϯⲙⲉⲧⲟⲩⲣⲟ ⲛ̀ⲧⲉ ⲫϯ							 οἷς καὶ παρέστησεν ἑαυτὸν ζῶντα μετὰ τὸ παθεῖν αὐτὸν ἐν πολλοῖς τεκμηρίοις, διʼ ἡμερῶν τεσσεράκοντα ὀπτανόμενος αὐτοῖς καὶ λέγων τὰ περὶ τῆς βασιλείας τοῦ θεοῦ·	 These to whom he manifested himself alive after having suffered, in many signs, through forty days manifesting himself to them, and speaking to them concerning the kingdom of God:	 ⲛⲁⲓ ⲟⲛ ⲛ̅ⲧⲁϥⲧⲁϩⲟϥ ⲉⲣⲁⲧϥ̅ ⲛⲁⲩ ⲉϥⲟⲛϩ ⲙⲛ̅ⲛ̅ⲥⲁ ⲧⲣⲉϥⲙⲟⲩ ϩⲛ̅ ϩⲁϩ ⲙ̅ⲙⲁⲉⲓⲛ ⲛ̅ϩⲙⲉ ⲛ̅ϩⲟⲟⲩ. ⲉϥⲟⲩⲱⲛϩ̅ ⲛⲁⲩ ⲉⲃⲟⲗ ⲁⲩⲱ ⲉϥϣⲁϫⲉ ⲉⲧⲃⲉ ⲧⲙⲛ̅ⲧⲉⲣⲟ ⲙ̅ⲡⲛⲟⲩⲧⲉ.
Acts of the Apostles	1	4	 ⲟⲩⲟϩ ⲉϥⲟⲩⲱⲙ ⲛⲉⲙⲱⲟⲩ ⲁϥϩⲟⲛϩⲉⲛ ⲛⲱⲟⲩ ⲉ̀ⲫⲱⲣϫ ⲥⲁⲃⲟⲗ ⲛ̀ⲓⲗ̅ⲏ̅ⲙ̅ ⲁⲗⲗⲁ ⲉ̀ⲟϩⲓ ⲙ̀ⲡⲓⲱϣ ⲛ̀ⲧⲉ ⲫⲓⲱⲧ ⲫⲏ ⲉⲧⲁⲣⲉⲧⲉⲛⲥⲟⲑⲙⲉϥ ⲛ̀ⲧⲟⲧ							 καὶ συναλιζόμενος παρήγγειλεν αὐτοῖς ἀπὸ Ἱεροσολύμων μὴ χωρίζεσθαι, ἀλλὰ περιμένειν τὴν ἐπαγγελίαν τοῦ πατρὸς ἣν ἠκούσατέ μου·	 and eating with them, he ordered them not to depart from Jerusalem, but to stay for the promise of the Father, which ye heard from me:	 ⲁⲩⲱ ⲉϥⲟⲩⲱⲙ ⲛⲙ̅ⲙⲁⲩ. ⲛⲉϥⲡⲁⲣⲁⲅⲅⲉⲓⲗⲉ ⲛⲁⲩ ⲉⲧⲙⲉⲓ ⲉⲃⲟⲗ ϩⲛ̅ ⲑⲓⲗ̅ⲏ̅ⲙ̅. ⲁⲗⲗⲁ ⲉϭⲱ ⲉⲡⲉⲣⲏⲧ ⲙ̅ⲡⲉⲓⲱⲧ. ⲡⲁⲓ ⲛ̅ⲧⲁⲧⲉⲧⲛ̅ⲥⲟⲧⲙⲉϥ ⲛ̅ⲧⲟⲟⲧ.
Acts of the Apostles	1	5	 ϫⲉ ⲓⲱⲁⲛⲛⲏⲥ ⲙⲉⲛ ⲁϥϯⲱⲙⲥ ϧⲉⲛ ⲟⲩⲙⲱⲟⲩ ⲛ̀ⲑⲱⲧⲉⲛ ⲇⲉ ⲥⲉⲛⲁⲉⲙⲥ ⲑⲏⲛⲟⲩ ϧⲉⲛ ⲟⲩⲡⲛ̅ⲁ̅ ⲉϥⲟⲩⲁⲃ ⲙⲉⲛⲉⲛⲥⲁ ⲟⲩⲙⲏϣ ⲛ̀ⲉϩⲟⲟⲩ ⲁⲛ ⲁ ⲛⲁⲓ ϣⲱⲡⲓ							 ὅτι Ἰωάννης μὲν ἐβάπτισεν ὕδατι, ὑμεῖς δὲ ἐν πνεύματι βαπτισθήσεσθε ἁγίῳ οὐ μετὰ πολλὰς ταύτας ἡμέρας.	 because Iōannēs indeed baptised in [a] water, but ye (pron.) will be baptised in [a] holy spirit: after not many days these (things) happened.	 ⲡⲉϫⲁϥ ϫⲉ ⲓⲱϩⲁⲛⲛⲏⲥ ⲙⲉⲛ ⲁϥⲃⲁⲡⲧⲓⲍⲉ ϩⲛ̅ ⲟⲩⲙⲟⲟⲩ. ⲛ̅ⲧⲱⲧⲛ̅ ⲇⲉ ⲥⲉⲛⲁⲃⲁⲡⲧⲓⲍⲉ ⲙ̅ⲙⲱⲧⲛ̅ ϩⲛ̅ ⲟⲩⲡⲛ̅ⲁ̅ ⲉϥⲟⲩⲁⲁⲃ. ⲙⲛ̅ⲛ̅ⲥⲁ ϩⲁϩ ⲁⲛ ⲛ̅ϩⲟⲟⲩ. ⲁⲗⲗⲁ ϣⲁ ⲧⲡⲉⲛⲧⲏⲕⲟⲥⲧⲏ.
Acts of the Apostles	1	6	 ⲛ̀ⲑⲱⲟⲩ ⲙⲉⲛ ⲟⲩⲛ ⲉⲧⲁⲩⲑⲱⲟⲩϯ ⲛⲁⲩϣⲓⲛⲓ ⲙ̀ⲙⲟϥ ⲉⲩϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲡϭ̅ⲥ̅ ⲓⲉ ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲡⲁⲓⲥⲏⲟⲩ ⲭⲛⲁⲧⲫⲉ ϯⲙⲉⲧⲟⲩⲣⲟ ⲉ̀ⲡⲓⲥ̅ⲗ̅							 Οἱ μὲν οὖν συνελθόντες ἠρώτων αὐτὸν λέγοντες· Κύριε, εἰ ἐν τῷ χρόνῳ τούτῳ ἀποκαθιστάνεις τὴν βασιλείαν τῷ Ἰσραήλ;	 They indeed then having assembled were asking him, saying: Lord, in this time wilt thou restore the kingdom to Israel?'	 ⲛ̅ⲧⲟⲟⲩ ϭⲉ ⲁⲩⲥⲱⲟⲩϩ. ⲁⲩϫⲛⲟⲩϥ ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ. ϫⲉ ⲡϫⲟⲉⲓⲥ. ⲉⲛ ϩⲣⲁⲓ ϩⲙ̅ ⲡⲉⲓⲟⲩⲟⲉⲓϣ ⲕⲛⲁϯ ⲛ̅ⲧⲙⲛ̅ⲧⲉⲣⲟ ⲙ̅ⲡⲓⲏ̅ⲗ̅.
Acts of the Apostles	1	7	 ⲡⲉϫⲁϥ ⲛⲱⲟⲩ ϫⲉ ⲫⲱⲧⲉⲛ ⲁⲛ ⲡⲉ ⲉ̀ⲉⲙⲓ ⲉ̀ϩⲁⲛⲭⲣⲟⲛⲟⲥ ⲓⲉ ϩⲁⲛⲥⲏⲟⲩ ⲛⲁⲓ ⲉⲧⲁ ⲫⲓⲱⲧ ⲭⲁⲩ ϧⲁ ⲡⲉϥⲉⲣϣⲓϣⲓ							 εἶπεν δὲ πρὸς αὐτούς· Οὐχ ὑμῶν ἐστιν γνῶναι χρόνους ἢ καιροὺς οὓς ὁ πατὴρ ἔθετο ἐν τῇ ἰδίᾳ ἐξουσίᾳ,	 He said to them: 'It is not yours to know times or seasons, these which the Father put under his authority.	 ⲡⲉϫⲁϥ ⲛⲁⲩ. ϫⲉ ⲙ̅ⲡⲱⲧⲛ̅ ⲁⲛ ⲡⲉ ⲥⲟⲩⲛ ⲛⲉⲩⲟⲓϣ ⲙⲛ̅ ⲛⲉⲭⲣⲟⲛⲟⲥ. ⲛⲁⲓ ⲛ̅ⲧⲁ ⲡⲉⲓⲱⲧ ⲕⲁⲁⲩ ϩⲛ̅ ⲧⲉϥⲉⲝⲟⲩⲥⲓⲁ ⲙⲁⲩⲁⲁϥ.
Acts of the Apostles	1	8	 ⲁⲗⲗⲁ ⲉⲣⲉⲧⲉⲛⲉ̀ϭⲓ ⲛ̀ⲟⲩϫⲟⲙ ⲉ̀ϣⲱⲡ ⲁⲣⲉϣⲁⲛ ⲡⲓⲡⲛ̅ⲁ̅ ⲉⲑⲟⲩⲁⲃ ⲓ̀ ⲉ̀ϧⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲟⲩⲟϩ ⲧⲉⲧⲉⲛⲛⲁϣⲱⲡⲓ ⲛⲏⲓ ⲙ̀ⲙⲉⲑⲣⲉ ϧⲉⲛ ⲓⲗ̅ⲏ̅ⲙ̅ ⲛⲉⲙ ϯⲓⲟⲩⲇⲉⲁ ⲧⲏⲣⲥ ⲛⲉⲙ ⲧⲥⲁⲙⲁⲣⲓⲁ ⲛⲉⲙ ϣⲁ ⲁⲩⲣⲏϫϥ ⲙ̀ⲡⲕⲁϩⲓ							 ἀλλὰ λήμψεσθε δύναμιν ἐπελθόντος τοῦ ἁγίου πνεύματος ἐφʼ ὑμᾶς, καὶ ἔσεσθέ μου μάρτυρες ἔν τε Ἰερουσαλὴμ καὶ ἐν πάσῃ τῇ Ἰουδαίᾳ καὶ Σαμαρείᾳ καὶ ἕως ἐσχάτου τῆς γῆς.	 But ye shall receive [a] power, if the holy spirit should come upon you: and ye will be to me witness in Jerusalem, and all [the] Ioudea and (the) Samaria, and unto the (lit. his) end of (the) earth.'	 ⲁⲗⲗⲁ ⲧⲉⲧⲛⲁϫⲓ ⲛ̅ⲟⲩϭⲟⲙ ⲉⲣϣⲁⲛ ⲡⲉⲡⲛ̅ⲁ̅ ⲉⲧⲟⲩⲁⲁⲃ ⲉⲓ ⲉϩⲣⲁⲓ ⲉϫⲱⲧⲛ̅. ⲛ̅ⲧⲉⲧⲛ̅ϣⲱⲡⲉ ⲛⲁⲓ ⲙ̅ⲙⲛ̅ⲧⲣⲉ ϩⲛ̅ ⲑⲓⲗ̅ⲏ̅ⲙ̅ ⲙⲛ̅ ϯⲟⲩⲇⲁⲓⲁ ⲧⲏⲣⲥ ⲙ̅ⲛ ⲧⲥⲁⲙⲁⲣⲓⲁ ⲁⲩⲱ ϣⲁ ⲁⲣⲏϫϥ ⲙ̅ⲡⲕⲁϩ.
Acts of the Apostles	1	9	 ⲟⲩⲟϩ ⲛⲁⲓ ⲉⲧⲁϥϫⲟⲧⲟⲩ ⲉⲩⲥⲟⲙⲥ ⲁⲩϥⲓⲧϥ ⲉ̀ⲡϣⲱⲓ ⲟⲩⲟϩ ⲟⲩϭⲏⲡⲓ ⲁⲥϣⲟⲡⲥ ⲉ̀ⲣⲟⲥ ⲉ̀ⲃⲟⲗ ϩⲁ ⲛⲟⲩⲃⲁⲗ							 καὶ ταῦτα εἰπὼν βλεπόντων αὐτῶν ἐπήρθη καὶ νεφέλη ὑπέλαβεν αὐτὸν ἀπὸ τῶν ὀφθαλμῶν αὐτῶν.	 And having said these things, as they gaze, he was lifted up; and a cloud received him from their eyes.	 ⲛⲁⲓ ⲇⲉ ⲛ̅ⲧⲉⲣⲉϥϫⲟⲟⲩ ⲁⲩⲕⲗⲟⲟⲗⲉ ϫⲓⲧϥ̅. ⲁⲩⲱ ⲁⲩϥⲓ ⲙ̅ⲙⲟϥ ⲉϩⲣⲁⲓ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ.
