book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Epistle to the Hebrews	1		ⲡⲣⲟⲥ ϩⲉⲃⲣⲉⲟⲥ ⲓ̅ ⲕⲉⲗ ⲁ									
Epistle to the Hebrews	1	1	 ϧⲉⲛ ⲟⲩⲑⲟ ⲛ̀ⲣⲏϯ ⲛⲉⲙ ⲟⲩⲙⲏϣ ⲛ̀ⲥⲙⲟⲧ ⲓⲥϫⲉⲛ ϩⲏ ⲁ ⲫϯ ⲥⲁϫⲓ ⲛⲉⲙ ⲛⲉⲛⲓⲟϯ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲛⲓⲡⲣⲟⲫⲏⲧⲏⲥ							 Πολυμερῶς καὶ πολυτρόπως πάλαι ὁ θεὸς λαλήσας τοῖς πατράσιν ἐν τοῖς προφήταις	 In many manners and many forms from (the) beginning God spake to our fathers from the prophets,	 ϩⲛ̅ ϩⲁϩ ⲙ̅ⲙⲉⲣⲟⲥ ⲁⲩⲱ ϩⲛ̅ ϩⲁϩ ⲛ̅ⲥⲙⲟⲧ ⲉⲁ ⲡⲛⲟⲩⲧⲉ ϣⲁϫⲉ ⲙⲛ̅ ⲛⲉⲛⲉⲓⲟⲧⲉ ⲛ̅ϣⲟⲣⲡ ϩⲛ̅ ⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ.
Epistle to the Hebrews	1	2	 ⲉ̀ⲡϧⲁⲉ̀ ⲇⲉ ⲛⲧⲉ ⲛⲁⲓⲉϩⲟⲟⲩ ⲛⲁⲓ ⲁϥⲥⲁϫⲓ ⲛⲉⲙⲁⲛ ϧⲉⲛ ⲟⲩϣⲏⲣⲓ ⲫⲁⲓ ⲉⲧⲁϥⲭⲁϥ ⲛ̀ⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ ⲛ̀ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲟⲩⲟϩ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲁϥⲑⲁⲙⲓⲉ ⲛ̀ⲛⲓⲉⲛⲉϩ							 ἐπʼ ἐσχάτου τῶν ἡμερῶν τούτων ἐλάλησεν ἡμῖν ἐν υἱῷ, ὃν ἔθηκεν κληρονόμον πάντων, διʼ οὗ καὶ ἐποίησεν τοὺς αἰῶνας·	 but at (the) end of these days he spake to us in a Son, he whom he appointed heir of all, and through him he made the ages;	 ϩⲛ̅ ⲑⲁⲏ ⲛ̅ⲛⲉⲓϩⲟⲟⲩ ⲁϥϣⲁϫⲉ ⲛⲙ̅ⲙⲁⲛ ϩⲙ̅ ⲡϣⲏⲣⲉ. ⲡⲁⲓ ⲉⲛⲧⲁϥⲕⲁⲁϥ ⲛ̅ⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ ⲙ̅ⲡⲧⲏⲣϥ̅. ⲡⲁⲓ ⲉⲛⲧⲁϥⲧⲁⲙⲓⲉ ⲛ̅ⲁⲓⲱⲛ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅
Epistle to the Hebrews	1	3	 ⲉⲧⲉ ⲛ̀ⲑⲟϥ ⲡⲉ ⲡⲓⲙⲟⲩⲉ ⲛ̀ⲧⲉ ⲡⲉϥⲱⲟⲩ ⲛⲉⲙ ⲡⲥⲙⲟⲧ ⲛ̀ⲧⲉ ⲧⲉϥϩⲩⲡⲟⲥⲧⲁⲥⲓⲥ ⲉϥϥⲁⲓ ϧⲁ ⲡⲧⲏⲣϥ ϧⲉⲛ ⲡⲥⲁϫⲓ ⲛ̀ⲧⲉ ⲧⲉϥϫⲟⲙ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲁϥⲓⲣⲓ ⲛ̀ⲟⲩⲧⲟⲩⲃⲟ ⲛ̀ⲧⲉ ⲛⲓⲛⲟⲃⲓ ⲁϥϩⲉⲙⲥⲓ ⲥⲁⲟⲩⲓⲛⲁⲙ ⲛ̀ϯⲙⲉⲧⲛⲓϣϯ ϧⲉⲛ ⲛⲏ ⲉⲧϭⲟⲥⲓ							 ὃς ὢν ἀπαύγασμα τῆς δόξης καὶ χαρακτὴρ τῆς ὑποστάσεως αὐτοῦ, φέρων τε τὰ πάντα τῷ ῥήματι τῆς δυνάμεως, διʼ αὑτοῦ καθαρισμὸν τῶν ἁμαρτιῶν ποιησάμενος ἐκάθισεν ἐν δεξιᾷ τῆς μεγαλωσύνης ἐν ὑψηλοῖς,	 who himself is the splendour of his glory, and (the) form of his substance, upholding (the) universe by (the) word of his power. Through him he made a cleansing of the sins. He sat on the right hand of the greatness on high;	 ⲉⲧⲉ ⲡⲁⲓ ⲡⲉ ⲡⲟⲩⲟⲉⲓⲛ ⲙ̅ⲡⲉⲟⲟⲩ. ⲁⲩⲱ ⲡⲉⲓⲛⲉ ⲙ̅ⲡⲉϥⲧⲁϫⲣⲟ. ⲉϥϥⲓ ϩⲁ ⲡⲧⲏⲣϥ̅ ϩⲙ̅ ⲡϣⲁϫⲉ ⲛ̅ⲧⲉϥϭⲟⲙ. ⲉⲁϥⲉⲓⲣⲉ ⲙ̅ⲡⲧⲃ̅ⲃⲟ ⲛ̅ⲛⲉⲛⲛⲟⲃⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧϥ̅. ⲁϥϩⲙⲟⲟⲥ ϩⲓⲧⲟⲩⲛⲁⲙ ⲛ̅ⲧⲙⲛ̅ⲧⲛⲟϭ ϩⲛ̅ ⲛⲉⲧϫⲟⲥⲉ.
Epistle to the Hebrews	1	4	 ⲉ̀ⲁϥϣⲱⲡⲓ ⲉϥⲥⲱⲧⲡ ⲉ̀ϩⲟⲧⲉ ⲛⲓⲁⲅⲅⲉⲗⲟⲥ ⲛ̀ⲧⲁⲓⲙⲁⲓⲏ ⲙ̀ⲡⲓⲣⲏϯ ⲉⲧⲁϥⲉⲣⲕⲗⲏⲣⲟⲛⲟⲙⲓⲛ ⲛ̀ⲟⲩⲣⲁⲛ ⲉ̀ⲟⲩⲟⲛ ϣⲓⲃϯ ⲙ̀ⲙⲟϥ ⲉ̀ϩⲟⲧⲉⲣⲱⲟⲩ							 τοσούτῳ κρείττων γενόμενος τῶν ἀγγέλων ὅσῳ διαφορώτερον παρʼ αὐτοὺς κεκληρονόμηκεν ὄνομα.	 having become better than the angels by so much, as he inherited a name being different from them.	 ⲛ̅ⲑⲉ ⲉⲧϥ̅ⲥⲟⲧⲡ ⲉⲛ̅ⲁⲅⲅⲉⲗⲟⲥ. ⲧⲁⲓ ⲟⲛ ⲧⲉ ⲑⲉ ⲉⲛⲧⲁϥⲕⲗⲏⲣⲟⲛⲟⲙⲓ ⲛ̅ⲟⲩⲣⲁⲛ ⲉϥϣⲟⲃⲉ ⲉⲣⲟⲟⲩ.
Epistle to the Hebrews	1	5	 ⲉⲧⲁϥϫⲟⲥ ⲅⲁⲣ ⲛ̀ⲛⲓⲙ ⲛ̀ⲑⲛⲁⲩ ϧⲉⲛ ⲛⲓⲁⲅⲅⲉⲗⲟⲥ ϫⲉ ⲛ̀ⲑⲟⲕ ⲡⲉ ⲡⲁϣⲏⲣⲓ ⲁ̀ⲛⲟⲕ ⲁⲓϫⲫⲟⲕ ⲙ̀ⲫⲟⲟⲩ ⲟⲩⲟϩ ⲡⲁⲗⲓⲛ ϫⲉ ⲁ̀ⲛⲟⲕ ⲉⲓⲉ̀ϣⲱⲡⲓ ⲛⲁϥ ⲉⲩⲓⲱⲧ ⲟⲩⲟϩ ⲛ̀ⲑⲟϥ ⲉϥⲉ̀ϣⲱⲡⲓ ⲛⲏⲓ ⲉⲩϣⲏⲣⲓ							 Τίνι γὰρ εἶπέν ποτε τῶν ἀγγέλων· Υἱός μου εἶ σύ, ἐγὼ σήμερον γεγέννηκά σε, καὶ πάλιν· Ἐγὼ ἔσομαι αὐτῷ εἰς πατέρα, καὶ αὐτὸς ἔσται μοι εἰς υἱόν;	 For to whom at any time among the angels said he: 'Thou art my Son, I (pron.) begat thee to-day'? and again: 'I (pron.) shall be to him a Father, and he (pron.) shall be to me for a Son'?	 ⲛ̅ⲧⲁϥϫⲟⲟⲥ ⲅⲁⲣ ⲛ̅ⲛⲓⲙ ⲛ̅ⲛⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲉⲛⲉϩ ϫⲉ ⲛ̅ⲧⲟⲕ ⲡⲉ ⲡⲁϣⲏⲣⲉ. ⲁⲛⲟⲕ ⲁⲓϫⲡⲟⲕ ⲙ̅ⲡⲟⲟⲩ. ⲁⲩⲱ ⲟⲛ ϫⲉ ⲁⲛⲟⲕ ϯⲛⲁϣⲱⲡⲉ ⲛⲁϥ ⲉⲩⲉⲓⲱⲧ. ⲛ̅ⲧⲟϥ ⲇⲉ ϥⲛⲁϣⲱⲡⲉ ⲛⲁⲓ ⲉⲩϣⲏⲣⲉ:
Epistle to the Hebrews	1	6	 ⲉ̀ϣⲱⲡ ⲇⲉ ⲟⲛ ⲁϥϣⲁⲛⲓⲛⲓ ⲙ̀ⲡⲓϣⲟⲣⲡ ⲙ̀ⲙⲓⲥⲓ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϯⲟⲓⲕⲟⲩⲙⲉⲛⲏ ⲉϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲙⲁⲣⲟⲩⲟⲩⲱϣⲧ ⲙ̀ⲙⲟϥ ⲧⲏⲣⲟⲩ ⲛ̀ϫⲉ ⲛⲓⲁⲅⲅⲉⲗⲟⲥ ⲛ̀ⲧⲉ ⲫϯ							 ὅταν δὲ πάλιν εἰσαγάγῃ τὸν πρωτότοκον εἰς τὴν οἰκουμένην, λέγει· Καὶ προσκυνησάτωσαν αὐτῷ πάντες ἄγγελοι θεοῦ.	 But when again he bringeth the firstborn into the world, he is saying: Let the angels of God all worship him.'	 ⲉϥϣⲁⲛⲉⲓⲛⲉ ⲇⲉ ⲟⲛ ⲙ̅ⲡϣⲣ̅ⲡ ⲙ̅ⲙⲓⲥⲉ ⲉϩⲟⲩⲛ ⲉⲧⲟⲓⲕⲟⲩⲙⲉⲛⲏ. ϣⲁϥϫⲟⲟⲥ ϫⲉ ⲙⲁⲣⲟⲩⲟⲩⲱϣⲧ ⲛⲁϥ ⲧⲏⲣⲟⲩ ⲛ̅ϭⲓ ⲛ̅ⲁⲅⲅⲉⲗⲟⲥ ⲙ̅ⲡⲛⲟⲩⲧⲉ.
Epistle to the Hebrews	1	7	 ⲟⲩⲟϩ ⲉⲑⲃⲉ ⲛⲓⲁⲅⲅⲉⲗⲟⲥ ϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲫⲏ ⲉⲧⲁϥⲑⲁⲙⲓⲟ ⲛ̀ⲛⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲛ̀ϩⲁⲛⲡⲛ̅ⲁ̅ ⲟⲩⲟϩ ⲛⲉϥⲣⲉϥϣⲉⲙϣⲓ ⲛ̀ⲟⲩϣⲁϩ ⲛ̀ⲭⲣⲱⲙ							 καὶ πρὸς μὲν τοὺς ἀγγέλους λέγει· Ὁ ποιῶν τοὺς ἀγγέλους αὐτοῦ πνεύματα, καὶ τοὺς λειτουργοὺς αὐτοῦ πυρὸς φλόγα·	 And concerning the angels he saith: He who made his angels spirits and his ministers a flame of fire.'	 ϣⲁϥϫⲟⲟⲥ ⲙⲉⲛ ⲛ̅ⲛⲁϩⲣⲛ̅ ⲛ̅ⲁⲅⲅⲉⲗⲟⲥ ϫⲉ ⲡⲉⲧⲧⲁⲙⲓⲟ ⲛ̅ⲛⲉϥⲁⲅⲅⲉⲗⲟⲥ ⲙ̅ⲡⲛ̅ⲁ̅ ⲛⲉϥⲗⲓⲧⲟⲩⲣⲅⲟⲥ ⲛ̅ϣⲁϩ ⲛ̅ⲥⲁⲧⲉ.
Epistle to the Hebrews	1	8	 ⲉⲑⲃⲉ ⲡϣⲏⲣⲓ ⲇⲉ ϥϫⲱ ⲙ̀ⲙⲟⲥ ϫⲉ ⲡⲉⲕⲑⲣⲟⲛⲟⲥ ⲫϯ ϣⲁ ⲉⲛⲉϩ ⲛ̀ⲧⲉ ⲡⲓⲉⲛⲉϩ ⲟⲩⲟϩ ⲡϣⲃⲱⲧ ⲙ̀ⲡⲥⲱⲟⲩⲧⲉⲛ ⲡⲉ ⲡϣⲃⲱⲧ ⲛ̀ⲧⲉ ⲧⲉⲕⲙⲉⲧⲟⲩⲣⲟ							 πρὸς δὲ τὸν υἱόν· Ὁ θρόνος σου ὁ θεὸς εἰς τὸν αἰῶνα τοῦ αἰῶνος, καὶ ἡ ῥάβδος τῆς εὐθύτητος ῥάβδος τῆς βασιλείας σου.	 But concerning (the) Son he saith: Thy throne, (O) God, unto age of the age, and (the) staff of (the) straightness is (the) staff of thy kingdom.	 ⲛ̅ⲛⲁϩⲣⲙ̅ ⲡϣⲏⲣⲉ ⲇⲉ ϫⲉ ⲡⲉⲕⲑⲣⲟⲛⲟⲥ ⲡⲛⲟⲩⲧⲉ ϣⲟⲟⲡ ϣⲁ ⲉⲛⲉϩ ⲛ̅ⲧⲉ ⲡⲓⲉⲛⲉϩ. ⲁⲩⲱ ⲡϭⲉⲣⲱⲃ ⲙ̅ⲡⲥⲟⲟⲩⲧⲛ̅ ⲡⲉ ⲡϭⲉⲣⲱⲃ ⲛ̅ⲧⲉⲕⲙⲛ̅ⲧⲉⲣⲟ.
Epistle to the Hebrews	1	9	 ϫⲉ ⲁⲕⲙⲉⲛⲣⲉ ϯⲙⲉⲑⲙⲏⲓ ⲟⲩⲟϩ ⲁⲕⲙⲉⲥⲧⲉ ⲧⲟϫⲓ ⲉⲑⲃⲉⲫⲁⲓ ⲁϥⲑⲁϩⲥⲕ ⲛ̀ϫⲉ ⲫϯ ⲡⲉⲕⲛⲟⲩϯ ⲛ̀ⲟⲩⲛⲉϩ ⲛ̀ⲑⲉⲗⲏⲗ ⲉ̀ϩⲟⲧⲉ ⲛⲏ ⲉⲧϧⲁⲑⲟⲩⲱⲕ							 ἠγάπησας δικαιοσύνην καὶ ἐμίσησας ἀνομίαν· διὰ τοῦτο ἔχρισέν σε ὁ θεός, ὁ θεός σου, ἔλαιον ἀγαλλιάσεως παρὰ τοὺς μετόχους σου·	 Because thou lovedst [the] righteousness and thou hatedst (the) injustice, therefore God, thy God, anointed thee with an oil of gladness rather than they who are thy fellows'	 ⲁⲕⲙⲉⲣⲉ ⲧⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ ⲁⲕⲙⲉⲥⲧⲉ ⲡϫⲓ ⲛ̅ϭⲟⲛⲥ̅. ⲉⲧⲃⲉ ⲡⲁⲓ ⲁϥⲧⲁϩⲥⲕ̅ ⲛ̅ϭⲓ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲕⲛⲟⲩⲧⲉ ⲛ̅ⲟⲩⲛⲉϩ ⲛ̅ⲧⲉⲗⲏⲗ ⲡⲁⲣⲁ ⲛⲉⲑⲓⲧⲟⲩⲱⲕ.
